sn,hra,hdec,snra,sndec
ASAS14ad,190.047458,18.061722,190.046250,18.059111
ASAS14hp,322.625708,-70.646972,322.630917,-70.642875
ASAS14hr,27.671958,-14.517528,27.671958,-14.518436
ASAS14hu,100.840167,-69.641528,100.862167,-69.637417
ASAS14jc,113.898083,-62.769444,113.897042,-62.770178
ASAS14jg,353.300958,-60.572250,353.307917,-60.569861
ASAS14jz,281.180583,-52.805361,281.184750,-52.801522
ASAS14kd,343.353125,4.799472,343.353958,4.799250
ASAS14kq,356.311708,-29.783472,356.314625,-29.783650
ASAS14lo,177.968625,18.546444,177.971292,18.541389
ASAS14lp,191.285792,-0.461889,191.287917,-0.459025
ASAS14lq,344.311708,-20.967083,344.330875,-20.966878
ASAS14lt,47.760625,-13.109583,47.760583,-13.110767
ASAS14lw,16.699708,-46.984306,16.704875,-46.983322
ASAS14me,21.667250,-57.997444,21.667000,-57.997031
ASAS14mf,1.227375,-32.437889,1.226917,-32.437397
ASAS14mw,25.378958,-65.615583,25.354833,-65.617017
ASAS14my,174.626083,-8.976139,174.624917,-8.976608
ASAS15aj,163.223583,-32.927611,163.221917,-32.926350
ASAS15al,74.456417,-21.590833,74.456792,-21.592808
ASAS15as,144.819542,6.430889,144.818958,6.430147
ASAS15ba,211.229750,8.920556,211.229542,8.920703
ASAS15be,43.191000,-34.314139,43.193292,-34.314589
ASAS15bm,226.465333,-5.625806,226.464917,-5.626958
ASAS15cb,189.959292,3.797028,189.959292,3.797158
ASAS15cd,149.811500,12.987917,149.811458,12.989036
ASAS15da,80.962750,-24.705583,80.966167,-24.702328
ASAS15db,236.745333,17.884194,236.744542,17.884042
ASAS15dd,235.995417,19.211528,235.996125,19.211317
ASAS15eb,121.531167,-22.563694,121.530833,-22.563572
ASAS15fr,140.085250,-7.639778,140.085167,-7.640772
ASAS15ga,194.863083,14.171056,194.863708,14.171053
ASAS15go,92.877083,-16.485722,92.877083,-16.484311
ASAS15gr,101.339750,-34.889806,101.335750,-34.893919
ASAS15hf,157.379167,-35.259861,157.379167,-35.259889
ASAS15hg,148.455125,9.193778,148.452583,9.193828
ASAS15hx,205.820000,-31.555056,205.819542,-31.555986
CSP12G,135.509125,10.299944,135.509750,10.300028
CSP12J,91.757167,-69.354944,91.756625,-69.354750
CSP13aad,26.541042,-67.466056,26.538917,-67.466694
CSP13aaf,148.791667,6.808444,148.784250,6.808722
CSP13aam,78.692792,-66.841528,78.697917,-66.841417
CSP13aao,89.626542,-63.560667,89.626583,-63.560639
CSP13abl,99.530833,-75.724694,99.529042,-75.727003
CSP13abm,46.498458,4.546111,46.499542,4.543944
CSP13abs,180.778208,-1.025694,180.778667,-1.025472
CSP13N,144.967292,16.917944,144.971583,16.921222
CSP13Q,30.593667,-65.735944,30.589833,-65.735739
CSP13Z,163.026167,-13.572306,163.025250,-13.573528
CSP14aaq,93.449958,-67.920694,93.450167,-67.920833
CSP14abn,209.013292,-43.575556,209.017458,-43.586083
CSP14acy,10.621292,-64.764778,10.619792,-64.764167
CSP14adc,36.608625,27.654222,36.597125,27.659667
CSP14ade,84.329042,-75.721111,84.327667,-75.721389
CSP15aae,212.488708,17.545556,212.479708,17.532111
CSP15B,206.800667,-24.372944,206.800458,-24.371417
KISS13j,182.415125,16.203417,182.415417,16.203972
KISS13l,168.725292,29.585778,168.725292,29.585000
KISS13v,208.235750,21.939194,208.235958,21.939361
KISS15m,181.516250,20.606111,181.503458,20.605111
KISS15n,195.134750,27.978417,195.134708,27.978056
LSQ11ot,78.948208,6.778139,78.951417,6.777600
LSQ11pn,79.173083,6.493944,79.173083,6.491500
LSQ12agq,154.424167,-7.414500,154.423625,-7.415125
LSQ12aor,163.823333,-14.299167,163.823500,-14.300383
LSQ12bld,205.686375,8.092167,205.683458,8.092706
LSQ12blp,204.022417,-11.625333,204.023292,-11.621353
LSQ12btn,140.379792,-9.692583,140.376958,-9.691628
LSQ12ca,82.765125,-19.801667,82.765083,-19.799800
LSQ12cda,207.510000,9.631972,207.509667,9.629750
LSQ12cdl,193.416042,-18.507111,193.416500,-18.507267
LSQ12fuk,74.566167,-16.300194,74.566167,-16.299453
LSQ12fvl,75.210958,-38.654639,75.208500,-38.653197
LSQ12fxd,80.571750,-25.607444,80.570917,-25.596392
LSQ12gdj,358.688208,-25.673139,358.680500,-25.676136
LSQ12gef,25.140583,18.511250,25.140417,18.510106
LSQ12gln,80.748042,-33.465861,80.747542,-33.464256
LSQ12gpw,48.245250,-11.711111,48.242667,-11.711147
LSQ12gxj,43.237542,1.606472,43.239083,1.606736
LSQ12gzm,40.181625,-34.740278,40.181708,-34.740519
LSQ12hjm,47.618417,-16.492639,47.619667,-16.493633
LSQ12hno,55.680292,-2.669056,55.680208,-2.669378
LSQ12hvj,166.911042,-29.709889,166.910917,-29.711378
LSQ12hxx,49.934292,-27.005694,49.934292,-27.007133
LSQ12hzj,149.801250,-9.002667,149.801792,-9.002292
LSQ12hzs,60.470458,-26.663250,60.471708,-26.663931
LSQ13abo,224.838458,-17.153806,224.838333,-17.152594
LSQ13aiz,198.803333,-17.966778,198.811708,-17.965458
LSQ13cwp,60.959417,-2.657667,60.961042,-2.654994
LSQ13dcy,73.819500,-19.998750,73.818417,-20.001500
LSQ13dhj,33.144208,-37.338639,33.143667,-37.339669
LSQ13dkp,47.545542,-36.633778,47.541542,-36.629142
LSQ13dpm,157.285917,-17.115083,157.284667,-17.113942
LSQ13dsm,53.302292,-26.208361,53.303458,-26.206672
CSP13ab,206.044875,3.062600,206.045042,3.062061
LSQ13pf,207.059083,-11.642333,207.059792,-11.644050
LSQ13ry,158.199333,4.195972,158.200000,4.197708
LSQ13vy,241.731792,3.001278,241.732708,3.004231
LSQ14act,239.934542,-10.444306,239.936042,-10.444667
LSQ14age,201.035750,-13.441389,201.035917,-13.440556
LSQ14ahc,205.948458,-32.910583,205.951042,-32.909756
LSQ14ahm,175.344375,-12.398611,175.343500,-12.399358
LSQ14ajn,178.877042,11.923667,178.878667,11.923856
LSQ14asu,167.901500,-21.466556,167.899792,-21.466564
LSQ14auy,217.048917,-4.054194,217.047083,-4.054861
LSQ14azy,168.145375,12.072361,168.144708,12.073564
LSQ14ba,165.346542,-15.618417,165.345875,-15.619525
LSQ14bbv,299.884583,-56.992361,299.888000,-56.991067
LSQ14bjj,215.204667,-5.250833,215.204500,-5.250625
LSQ14fms,3.747042,-51.210583,3.749250,-51.210983
LSQ14foj,6.644792,-32.807556,6.644458,-32.809192
LSQ14fom,329.956708,-30.271972,329.957208,-30.270989
LSQ14gfb,77.523458,-36.310833,77.524000,-36.312103
LSQ14gfn,52.133583,-4.203194,52.134000,-4.203950
LSQ14ghv,50.935458,-31.586194,50.933958,-31.584214
LSQ14gov,61.506375,-16.027472,61.505542,-16.028192
LSQ14ip,146.086792,4.592111,146.084250,4.597933
LSQ14jp,194.340333,-15.794778,194.339625,-15.792617
LSQ14mc,135.555667,17.059861,135.556042,17.060281
LSQ14q,133.488333,17.328528,133.489917,17.327275
LSQ14wp,153.524333,6.675722,153.523833,6.675150
LSQ14xi,187.670333,-13.773278,187.671542,-13.772753
LSQ15aae,247.562833,5.930944,247.565417,5.932981
LSQ15agh,163.226375,23.597611,163.228250,23.461569
LSQ15alq,197.328250,-25.868222,197.327333,-25.872289
LSQ15bv,164.946583,-16.818667,164.947042,-16.819619
CSP13aap,52.485667,-28.775722,52.484792,-28.771583
CSP14aax,220.370917,9.430917,220.368500,9.432972
CSP14aba,191.722167,14.796778,191.722292,14.797250
PS1-14xw,253.245292,2.400917,253.241375,2.393472
PS15sv,243.298708,1.592278,243.298917,1.591972
PTF11pbp,351.986333,8.779028,351.981333,8.779167
PTF11ppn,323.840292,26.934694,323.841375,26.934639
PTF11pra,34.688625,-6.639083,34.690875,-6.641944
SN2011im,341.101542,-0.162083,341.106042,-0.167222
PTF13anh,196.710167,15.575778,196.710208,15.575656
PTF13duj,318.441083,13.574917,318.436583,13.575861
PTF13dwl,319.204042,12.014667,319.204375,12.014111
PTF13dym,351.125875,14.651000,351.125792,14.651111
PTF13ebh,35.504208,33.266056,35.499917,33.270472
PTF13efe,130.913583,16.177100,130.913750,16.177028
PTF13ez,182.463583,19.787944,182.463750,19.787694
PTF14aje,231.301792,-1.811167,231.300292,-1.814306
PTF14fpg,7.050375,7.161125,7.050000,7.162083
PTF14gnl,5.951292,-3.855750,5.951375,-3.857750
PTF14uo,199.739042,9.712222,199.740375,9.711194
PTF14w,180.906750,2.046917,180.880375,2.042778
CSP14aay,176.266167,19.973694,176.264917,19.973722
PTF14yy,186.536667,9.979778,186.538208,9.978944
SN2011iv,54.716333,-35.594389,54.713917,-35.592222
SN2011iy,197.238458,-15.516306,197.243250,-15.517778
SN2011jh,191.814542,-10.063444,191.810083,-10.063139
SN2011jn,194.298292,-17.409500,194.311625,-17.400139
SN2011jt,223.347500,2.966528,223.345875,2.961972
SN2012ah,351.615250,-81.911583,351.498458,-81.909250
SN2012aq,223.521417,22.094639,223.521375,22.094611
SN2012ar,245.152167,-10.468333,245.150083,-10.460639
SN2012bl,305.962542,-48.358806,305.980333,-48.354806
SN2012bo,192.691917,-14.268556,192.688458,-14.269028
SN2012E,38.344792,9.601694,38.344958,9.584889
SN2012fr,53.401542,-36.140389,53.400417,-36.126111
SN2012G,189.899417,16.587833,189.896250,16.586639
SN2012gm,349.401667,14.001194,349.404292,14.002472
CSP12F,18.529250,-32.650889,18.531083,-32.652139
SN2012hl,12.573708,24.531778,12.574000,24.531167
CSP12K,95.411458,-59.739917,95.410250,-59.714056
CSP12M,163.361667,16.778889,163.344792,16.776361
SN2012id,70.676917,18.583417,70.671417,18.583250
SN2012ij,175.067042,17.457222,175.066000,17.456167
SN2012U,31.514542,-55.193528,31.518042,-55.193750
CSP13P,218.169750,-44.174417,218.141167,-44.224389
CSP13Y,208.501125,-7.930667,208.502833,-7.928833
CSP13al,280.649500,-64.942917,280.657750,-64.937083
CSP13am,84.972667,-40.512500,84.967208,-40.507806
CSP13an,197.593708,-7.170694,197.588792,-7.173361
CSP13ay,201.711708,-10.024000,201.713833,-10.025611
CSP13bf,141.735958,-24.783028,141.736542,-24.783222
CSP13bh,18.232125,0.981556,18.228833,0.979361
CSP13B,150.022500,-34.228278,150.023000,-34.233694
SN2013fy,324.367417,-47.035833,324.363000,-47.031889
CSP13aae,65.944375,-51.599444,65.943500,-51.596194
CSP13aaw,47.493458,19.208056,47.488792,19.213667
CSP13aax,55.567333,-4.730750,55.570333,-4.721800
CSP13C,136.648833,-75.825694,136.627917,-75.817083
CSP13aba,172.259667,17.231861,172.268208,17.235972
SN2013hn,207.272125,-30.295861,207.246542,-30.290694
CSP13G,209.990208,-37.863583,209.986167,-37.863722
CSP13M,150.299500,0.329333,150.300000,0.328417
CSP14abf,128.638958,-2.546806,128.638833,-2.543361
CSP14abh,326.564583,-46.518056,326.561750,-46.522528
CSP14abl,343.753958,-39.661333,343.758208,-39.659583
CSP14aaa,182.654042,18.827806,182.653167,18.826500
CSP14acp,247.447083,8.644250,247.442042,8.641833
CSP14acm,64.472333,-56.616250,64.476125,-56.612556
CSP14adf,41.286292,-55.740583,41.288625,-55.738028
CSP14aab,85.586958,-25.541028,85.582500,-25.544417
CSP14aaw,26.029625,-61.123417,26.033292,-61.118722
CSP15aaj,114.099333,-69.530833,114.065667,-69.506389
CSP15aak,226.364542,1.634806,226.375292,1.634000
CSP14aal,149.412875,12.554758,149.412958,12.554917
LSQ15aja,255.787167,12.461569,255.787167,12.461569
CSP12N,189.567792,-15.109122,189.567458,-15.108931
CSP13aaq,64.946708,-63.722789,64.946708,-63.722789
CSP13aay,51.389625,-53.738611,51.389625,-53.738611
CSP14aar,87.097875,-66.791583,87.097875,-66.791583
CSP14acl,15.279333,-10.311083,15.279333,-10.311083
LSQ11bk,65.184375,-8.598819,65.184375,-8.598819
LSQ12gyc,41.458625,-17.929372,41.458625,-17.929372
LSQ12hnr,160.811542,-8.778025,160.811542,-8.778025
LSQ13dby,51.678500,-34.634858,51.678500,-34.634858
LSQ13dqh,65.524583,-2.890067,65.524583,-2.890067
LSQ14ie,193.889417,-32.944547,193.889417,-32.944547
CSP13U,54.671000,10.307561,54.671000,10.307561
CSP13ag,178.218083,-18.988861,178.218083,-18.988861
SN2013gy,55.567333,-4.730750,55.570333,-4.721800
PS1-14rx,191.722182,14.796790,191.722292,14.797250
SN2013gv,47.493471,19.208054,47.488792,19.213667
SN2013ct,18.232125,0.981556,18.228833,0.979361
SN2013cg,141.735958,-24.783028,141.736542,-24.783222
SN2014dn,64.472333,-56.616250,64.476125,-56.612556
SN2015F,114.099333,-69.530833,114.065667,-69.506389
PS1-13eao,52.485670,-28.775720,52.484792,-28.771583
SN2013hh,172.259662,17.231862,172.268208,17.235972
SN2012hd,18.529250,-32.650889,18.531083,-32.652139
SN2013E,150.022500,-34.228278,150.023000,-34.233694
PS1-14ra,220.370933,9.430919,220.368500,9.432972
PTF11qnr,341.101540,-0.162093,341.106042,-0.167222
SN2012hr,95.411458,-59.739917,95.410250,-59.714056
SN2012ht,163.361667,16.778889,163.344792,16.776361
SN2012cg,186.798380,9.420670,186.803458,9.420333
SN2014ba,343.753958,-39.661333,343.758208,-39.659583
PTF14yw,176.266175,19.973681,176.264917,19.973722
SN2014Z,26.029625,-61.123417,26.033292,-61.118722
SN2013az,84.972667,-40.512500,84.967208,-40.507806
SN2014eg,41.286292,-55.740583,41.288625,-55.738028
SN2013ay,280.649500,-64.942917,280.657750,-64.937083
SN2014I,85.586958,-25.541028,85.582500,-25.544417
SN2013aa,218.169765,-44.174406,218.141167,-44.224389
SN2014D,182.654042,18.827806,182.653167,18.826500
SN2013aj,208.501125,-7.930667,208.502833,-7.928833
SNhunt281,226.364541,1.634806,226.375292,1.634000
SN2013fz,65.944375,-51.599444,65.943500,-51.596194
SN2013M,209.990208,-37.863583,209.986167,-37.863722
SN2013H,136.648833,-75.825694,136.627917,-75.817083
SN2013bz,201.711708,-10.024000,201.713833,-10.025611
SN2014at,326.564583,-46.518056,326.561750,-46.522528
SN2013bc,197.593708,-7.170694,197.588792,-7.173361
SN2014ao,128.638958,-2.546806,128.638833,-2.543361
SN2013U,150.299498,0.329343,150.300000,0.328417
SN1995al,147.738123,33.553629,147.73321,33.55261
SN1990N,190.718279,13.257398,190.73642,13.25667
SN1981B,188.612707,2.188137,188.622917,2.199722
SN2001el,56.133000,-44.644833,56.12738,-44.63992
SN2011by,178.937875,55.320742,178.93983,55.32606
SN2005cf,230.388723,-7.447884,230.38421,-7.41319
SN2002fk,50.527333,-15.400056,50.52379,-15.40089
SN2013dy,334.574167,40.562389,334.57333,40.56933
SN2003du,218.654250,59.337806,218.64917,59.33439
SN2011fe,210.802267,54.348950,210.77421,54.27372
SN1998aq,179.117204,55.125238,179.10833,55.12744
SN2009ig,39.548167,-1.318694,39.54838,-1.31253
SN1994ae,161.766880,17.273622,161.75813,17.27528
