sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,dist,edist,host,caltype
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.244,0.005,-7.2,0.0159,0.0016,6.66E-06,CSPII,Ia,0.973,0,1,-0.011,0.01118033989,-2.50E-05,8.23,8.61,8.78,-1,-1,KUG 1237+183,
ASAS14hp,0.0388933,0.0386676,1.074,0.01,16.547,0.003,-4.3,0.0295,0.0029,-5.27E-06,CSPII,Ia,0.984,1,0,-0.049,0.005,-9.00E-06,8.98,9.09,9.15,-1,-1,2MASX J21303015-7038489,
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.021,0.009,-6.1,0.0131,0.0013,4.13E-05,CSPII,Ia,0.985,1,0,0.061,0.01345362405,-8.10E-05,10.18,10.34,10.45,-1,-1,2MASX J01504127-1431032,
ASAS14hu,0.0215851,0.0218919,1.052,0.007,15.431,0.004,-6.8,0.0612,0.0061,-8.50E-06,CSPII,Ia,0.983,0,1,-0.045,0.006403124237,-1.60E-05,9.8,9.93,10.24,-1,-1,ESO 058- G 012,
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.245,0.006,-5.3,0.1346,0.0135,5.33E-06,CSPII,Ia,0.962,0,1,0.437,0.01,-3.60E-05,9.32,9.46,9.77,-1,-1,2MASX J07353554-6246099,
ASAS14jg,0.0148167,0.014347,1.285,0.022,14.732,0.035,2.7,0.0128,0.0013,-2.23E-05,CSPII,Ia,0.961,0,1,0.049,0.05940538696,-0.001225,8.57,8.76,8.88,-1,-1,2MASX J23331223-6034201,
ASAS14jz,0.0157891,0.0156168,0.989,0.006,14.663,0.004,-8.5,0.0472,0.0047,1.01E-05,CSPII,Ia,0.952,0,0,-0.041,0.005656854249,-1.60E-05,8.11,8.23,8.35,-1,-1,GALEXASC J184443.33-524819.2,
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.01,0.005,-6.9,0.0574,0.0057,1.71E-05,CSPII,Ia-91T,0.941,0,0,0.234,0.007071067812,-2.50E-05,10.03,10.14,10.23,-1,-1,2MASX J22532475+0447583,
ASAS14kq,0.0335767,0.0325972,1.147,0.011,16.612,0.009,-5.2,0.0155,0.0016,6.29E-05,CSPII,Ia,0.961,1,0,-0.021,0.01204159458,-8.10E-05,8.78,8.91,9.11,-1,-1,2MASX J23451480-2947009,
ASAS14lo,0.0199167,0.0210151,0.952,0.018,15.876,0.036,2.3,0.0282,0.0028,-6.71E-06,CSPII,Ia,0.979,0,1,0.127,0.06080296045,-0.001296,9.47,9.69,9.79,-1,-1,UGC 06837,
ASAS14lp,0.0050967,0.0062254,1.029,0.004,11.914,0.004,-13.9,0.0213,0.0021,1.81E-06,CSPII,Ia,0.335,0,1,0.243,0.006403124237,-1.60E-05,10.6,10.74,10.91,-1,-1,NGC 4666,
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.013,0.047,5.6,0.0275,0.0028,-4.92E-05,CSPII,Ia,0.977,0,1,0.02,0.07940403012,-0.002209,10.46,10.65,10.73,-1,-1,2MASX J22571481-2058014,
ASAS14lt,0.0320233,0.0314552,0.944,0.008,16.368,0.01,-4.6,0.0474,0.0047,2.32E-05,CSPII,Ia,0.984,1,0,-0.033,0.01640121947,-0.0001,10.56,10.64,10.7,-1,-1,IC 0299,
ASAS14lw,0.0208855,0.0202609,1.25,0.007,15.602,0.006,-9,0.0117,0.0012,1.66E-05,CSPII,Ia,0.939,0,1,-0.012,0.009219544457,-3.60E-05,6.08,6.35,6.72,-1,-1,GALEXASC J010647.95-465904.1,
ASAS14me,0.0178,0.017386,1.078,0.005,15.074,0.004,-10.4,0.0175,0.0018,-1.63E-06,CSPII,Ia,0.981,0,1,0.007,0.005656854249,-1.60E-05,8.91,9.05,9.15,-1,-1,ESO 113- G 047,
ASAS14mf,0.03108,0.0301521,0.984,0.005,16.511,0.007,-3.7,0.0125,0.0013,1.10E-05,CSPII,Ia,0.984,1,0,-0.012,0.01063014581,-4.90E-05,8.66,8.93,9.03,-1,-1,GALEXASC J000454.54-322615.3,
ASAS14mw,0.0273867,0.0271207,1.063,0.007,15.879,0.003,-6.7,0.0179,0.0018,-6.64E-06,CSPII,Ia,0.984,1,1,-0.034,0.005,-9.00E-06,10.59,10.68,10.75,-1,-1,AM 0139-655 NED02,
ASAS14my,0.0205,0.0217279,0.923,0.005,15.553,0.006,-8.2,0.0316,0.0032,8.58E-06,CSPII,Ia,0.975,0,1,0.015,0.01,-3.60E-05,10.11,10.31,10.74,-1,-1,NGC 3774,
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.577,0.006,-2.6,0.0656,0.0066,1.49E-05,CSPII,Ia,0.952,0,1,0.103,0.009219544457,-3.60E-05,11.05,11.2,11.35,-1,-1,NGC 3449,
ASAS15al,0.0337766,0.0337612,1.077,0.028,16.841,0.036,0.4,0.0293,0.0029,-3.07E-05,CSPII,Ia,0.916,1,0,0.055,0.05920304046,-0.001296,8.03,8.07,8.23,-1,-1,GALEXASC J045749.46-213526.3,
ASAS15as,0.0286801,0.0297845,1.076,0.014,16.179,0.005,-1.3,0.0398,0.004,-2.36E-05,CSPII,Ia,0.985,1,1,0.029,0.007810249676,-2.50E-05,7.47,7.66,8.01,-1,-1,SDSS J093916.69+062551.1,
ASAS15ba,0.0231167,0.0239771,0.967,0.004,15.975,0.004,-2.1,0.0223,0.0022,1.91E-06,CSPII,Ia,0.983,0,1,0.008,0.006403124237,-1.60E-05,7.83,7.99,8.19,-1,-1,SDSS J140455.12+085514.0,
ASAS15be,0.0218833,0.0213892,1.134,0.006,15.611,0.005,-7.2,0.0167,0.0017,1.81E-05,CSPII,Ia,0.976,0,1,0.019,0.006403124237,-2.50E-05,7.66,7.8,8.16,-1,-1,GALEXASC J025245.83-341850.6,
ASAS15bm,0.0207856,0.0214395,0.991,0.005,15.625,0.007,-7.6,0.069,0.0069,1.47E-05,CSPII,Ia,0.976,0,1,0.127,0.009899494937,-4.90E-05,9.89,10.02,10.15,-1,-1,LCRS B150313.2-052600,
ASAS15cb,0.04001,0.0411361,1.086,0.053,16.953,0.047,1.9,0.0279,0.0028,-5.48E-05,CSPII,Ia,0.583,1,0,0.107,0.07940403012,-0.002209,10.17,10.28,10.4,-1,-1,VCC 1810,
ASAS15cd,0.0342863,0.0353887,1.003,0.005,16.693,0.006,-3.5,0.0261,0.0026,5.96E-06,CSPII,Ia,0.983,1,0,-0.021,0.009219544457,-3.60E-05,9.85,9.95,10.02,-1,-1,CGCG 064-017,
ASAS15da,0.0487,0.0488203,0.853,0.025,17.679,0.044,2.5,0.0303,0.003,-1.68E-05,CSPII,Ia,0.973,1,0,-0.132,0.07602631123,-0.001936,10.23,10.4,10.48,-1,-1,2MASX J05235106-2442201,
ASAS15db,0.01099,0.0113676,0.955,0.003,14.602,0.004,-6.1,0.029,0.0029,2.76E-06,CSPII,Ia,0.975,0,0,0.086,0.006403124237,-1.60E-05,9.98,10.11,10.19,-1,-1,NGC 5996,
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.065,0.006,-0.8,0.0461,0.0046,1.09E-05,CSPII,Ia,0.962,0,0,-0.007,0.009219544457,-3.60E-05,10.31,10.41,10.52,-1,-1,CGCG 107-031,
ASAS15eb,0.01647,0.0173082,0.821,0.018,15.339,0.01,-0.9,0.1652,0.0165,3.93E-05,CSPII,Ia,0.978,0,1,-0.129,0.01562049935,-0.0001,10.79,10.96,11.4,-1,-1,ESO 561- G 012,
ASAS15fr,0.0334133,0.0345082,0.905,0.021,16.816,0.039,1.4,0.0321,0.0032,-2.13E-05,CSPII,Ia-91T,0.978,1,1,-0.133,0.06580273551,-0.001521,9.89,9.98,10.06,-1,-1,2MASX J09202045-0738229,
ASAS15ga,0.0066267,0.0076517,0.496,0.03,15.068,0.037,-3.8,0.0236,0.0024,0.000736,CSPII,Ia-91bg,0.966,0,1,0.431,0.04957822102,-0.001369,10.18,10.38,10.48,-1,-1,NGC 4866,
ASAS15go,0.01891,0.0192546,1.071,0.012,15.847,0.004,-4,0.1369,0.0137,-1.44E-05,CSPII,Ia,0.981,0,1,0.224,0.006403124237,-1.60E-05,10.04,10.18,10.27,-1,-1,2MASX J06113048-1629085,
ASAS15gr,0.0242832,0.0247678,1.035,0.007,15.867,0.004,-3.4,0.0823,0.0082,-3.29E-06,CSPII,Ia,0.983,0,1,-0.036,0.006403124237,-1.60E-05,8.82,8.94,9.02,-1,-1,ESO 366- G 015,
ASAS15hf,0.0061733,0.0072452,0.943,0.005,13.996,0.006,-7.8,0.0854,0.0085,1.03E-05,CSPII,Ia,0.961,0,1,0.009,0.01,-3.60E-05,9.39,9.56,9.97,-1,-1,ESO 375- G 041,
ASAS15hg,0.02975,0.0308678,0.82,0.02,16.828,0.036,1.7,0.041,0.0041,-2.92E-06,CSPII,Ia,0.985,1,0,0.063,0.06080296045,-0.001296,10.3,10.42,10.51,-1,-1,CGCG 063-098,
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.179,0.003,-10.2,0.0415,0.0042,-5.61E-07,CSPII,Ia,0.909,0,1,-0.03,0.005,-9.00E-06,7.06,7.45,7.89,-1,-1,GALEXASC J134316.80-313318.2,
CSP12G,0.0369744,0.0379661,1.159,0.029,17.099,0.043,8.9,0.0283,0.0028,6.92E-05,CSPII,Ia,0.985,1,0,0.115,0.07381734214,-0.001849,8.29,8.41,8.49,-1,-1,SDSS J090202.18+101759.7,
CSP12J,0.01468,0.0149235,0.484,0.025,15.82,0.071,5,0.0678,0.0068,-0.0001693,CSPII,Ia,0.917,0,0,0.555,0.1284133949,-0.005041,9.97,10.09,10.2,-1,-1,2MASX J06070178-6921180,
CSP12N,0.0971328,0.0982741,1.053,0.012,18.704,0.006,-8.9,0.0429,0.0043,-2.42E-05,CSPII,Ia,0.985,1,0,-0.114,0.008485281374,-3.60E-05,7.32,7.51,7.66,-1,-1,Anonymous,
CSP13N,0.04776,0.0487969,1.138,0.025,16.973,0.039,3.2,0.0238,0.0024,4.14E-05,CSPII,Ia-91T,0.976,1,0,-0.004,0.06661080993,-0.001521,9.88,10.07,10.24,-1,-1,CGCG 092-024,
CSP13Q,0.089,0.0887656,0.76,0.231,18.964,0.045,0.9,0.0287,0.0029,-0.0004394,CSPII,Ia,0.986,1,0,-0.047,0.08154140053,-0.002025,10.06,10.25,10.74,-1,-1,2MASX J02022241-6544090,
CSP13V,0.0599585,0.0611394,1.05,0.082,17.616,0.095,17.9,0.0474,0.0047,-0.006736,CSPII,Ia,0.987,0,0,-0.142,0.1430873859,-0.009025,11.5,11.5,11.5,-1,-1,,
CSP13Z,0.0788454,0.0800694,1.19,0.015,18.192,0.007,-7.1,0.0484,0.0048,8.68E-06,CSPII,Ia-91T,0.98,1,0,-0.023,0.01063014581,-4.90E-05,8.25,8.35,8.85,-1,-1,GALEXASC J105206.27-133420.2,
CSP13aad,0.0868,0.0865709,1.19,0.033,18.663,0.041,3.1,0.0206,0.0021,-6.98E-05,CSPII,Ia,0.979,1,0,0.02,0.0694046108,-0.001681,9.59,9.65,9.8,-1,-1,2MASX J01460987-6727579,
CSP13aaf,0.0775863,0.0787193,1.136,0.015,18.328,0.006,-4.6,0.0222,0.0022,5.20E-05,CSPII,Ia,0.978,1,0,-0.056,0.008485281374,-3.60E-05,10.53,10.66,11.04,-1,-1,SDSS J095510.00+064830.3,
CSP13aam,0.0749481,0.0750921,1.136,0.017,17.956,0.009,-3.1,0.1643,0.0164,7.03E-05,CSPII,Ia,0.968,1,0,-0.155,0.01272792206,-8.10E-05,8.65,9.05,9.23,-1,-1,2MASX J05144615-6650292,
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.039,0.05,0.8,0.0444,0.0044,-2.11E-05,CSPII,Ia,0.978,1,0,0.125,0.08683893136,-0.0025,9.8,9.93,10.09,-1,-1,2MASX J05583036-6333386,
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.041,0.008,-6.9,0.0293,0.0029,2.37E-05,CSPII,Ia,0.969,1,0,-0.055,0.0113137085,-6.40E-05,11.5,11.5,11.5,-1,-1,Anonymous,
CSP13aay,0.0589592,0.0587551,1.14,0.012,18.197,0.006,-1.6,0.0159,0.0016,3.07E-05,CSPII,Ia,0.955,1,0,0.039,0.009219544457,-3.60E-05,11.5,11.5,11.5,-1,-1,Anonymous,
CSP13abl,0.0403721,0.0406288,0.817,0.051,20.161,0.026,-5.1,0.0862,0.0086,0.0006382,CSPII,Ia,0.42,1,0,1.073,0.06264982043,-0.000676,8.9,8.91,9.04,-1,-1,2MASX J06380745-7543288,
CSP13abm,0.0281805,0.027529,1.129,0.01,16.358,0.006,-4,0.1485,0.0149,2.86E-05,CSPII,Ia,0.747,0,1,-0.006,0.008485281374,-3.60E-05,11.5,11.5,11.5,-1,-1,SDSS J030559.63+043246.0,
CSP13abs,0.0771466,0.0783462,1.208,0.014,18.281,0.011,-6.5,0.0208,0.0021,7.20E-05,CSPII,Ia-91T,0.983,1,0,-0.061,0.0162788206,-0.000121,6.23,6.36,6.48,-1,-1,SDSS J120306.76-010132.4,
CSP14aaq,0.0359133,0.0361755,0.898,0.015,16.733,0.015,-6.7,0.0524,0.0052,3.28E-05,CSPII,Ia,0.986,1,0,-0.09,0.02051828453,-0.000225,11.01,11.08,11.48,-1,-1,2MASX J06134795-6755146,
CSP14aar,0.0421708,0.0423854,0.982,0.022,17.096,0.004,-0.9,0.0934,0.0093,4.68E-06,CSPII,Ia,0.986,1,0,-0.021,0.007211102551,-1.60E-05,8.9,9.07,9.42,-1,-1,Anonymous,
CSP14abk,0.0797448,0.0797387,0.96,0.025,17.963,0.019,-4.7,0.0663,0.0066,0.0002078,CSPII,Ia,0,0,0,0.081,0.02831960452,-0.000361,11.5,11.5,11.5,-1,-1,,
CSP14abn,0.0225,0.0232746,1.007,0.005,15.64,0.003,-1.4,0.0747,0.0075,-1.56E-06,CSPII,Ia,0.976,0,0,-0.026,0.004242640687,-9.00E-06,9.59,9.75,10.24,-1,-1,2MASX J13560316-4334319,
CSP14acl,0.0299792,0.0289327,0.96,0.008,16.641,0.009,-0.2,0.0264,0.0026,-7.67E-06,CSPII,Ia,0.081,0,0,-0.071,0.015,-8.10E-05,11.5,11.5,11.5,-1,-1,Anonymous,
CSP14acy,0.0663741,0.0660269,0.966,0.011,17.715,0.011,-1.8,0.0174,0.0017,1.95E-05,CSPII,Ia-91T,0.027,1,0,0.122,0.01780449381,-0.000121,7.86,8.19,8.33,-1,-1,APMUKS(BJ) B004021.02-650219.5,
CSP14adc,0.03244,0.031651,0.811,0.01,16.932,0.007,-3.2,0.0949,0.0095,2.00E-05,CSPII,Ia,0.976,1,1,0.232,0.01140175425,-4.90E-05,10.67,10.81,11.14,-1,-1,UGC 01899,
CSP14ade,0.0624568,0.0626358,1.228,0.013,17.671,0.008,-7.4,0.077,0.0077,5.35E-05,CSPII,Ia-91T,0.963,1,0,0.035,0.01204159458,-6.40E-05,10.33,10.49,10.97,-1,-1,2MASX J05371898-7543157,
CSP15B,0.0198862,0.0208198,0.718,0.006,15.973,0.006,-3.8,0.0641,0.0064,1.12E-05,CSPII,Ia,0.966,0,1,0.14,0.01081665383,-3.60E-05,10.78,10.95,11.42,-1,-1,ESO 509- G 108,
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.308,0.007,-6.7,0.0226,0.0023,1.22E-05,CSPII,Ia-91bg,0.981,0,1,0.454,0.01063014581,-4.90E-05,10.96,11.14,11.26,-1,-1,NGC 5490,
KISS13j,0.0765333,0.0776331,0.895,0.026,18.733,0.012,-1.3,0.0326,0.0033,-1.32E-05,CSPII,Ia,0.963,1,0,0.132,0.02080865205,-0.000144,9.65,9.83,10.21,-1,-1,SDSS J120939.62+161212.2,
KISS13l,0.1320086,0.1330018,1.087,0.115,19.544,0.052,1.9,0.0137,0.0014,-0.0008184,CSPII,Ia,0.987,1,0,-0.038,0.09964436763,-0.002704,8.32,8.69,8.85,-1,-1,SDSS J111454.06+293508.7,
KISS13v,0.0954,0.0962132,0.984,0.014,19.188,0.012,-9.1,0.0195,0.002,7.12E-05,CSPII,Ia,0.98,1,0,0.094,0.01769180601,-0.000144,11.5,11.5,11.5,-1,-1,SDSS J135256.58+215621.1,
KISS15m,0.02432,0.0253844,0.425,0.009,17.67,0.015,-6.1,0.0277,0.0028,3.65E-05,CSPII,Ia-91bg,0.958,0,0,0.622,0.03176476035,-0.000225,9.67,9.78,9.94,-1,-1,NGC 4098,
KISS15n,0.023084,0.0239783,1.225,0.009,15.418,0.007,-14,0.0088,0.0009,2.53E-05,CSPII,Ia-91T,0.85,0,1,0.097,0.01063014581,-4.90E-05,7.8,8,8.17,-1,-1,GALEXMSC J130032.33+275842.3 ?,
LSQ11bk,0.0402721,0.0400251,1.071,0.016,16.953,0.007,-0.7,0.0936,0.0094,-4.49E-05,CSPII,Ia,0.967,1,0,-0.078,0.01063014581,-4.90E-05,6.5,6.53,6.59,-1,-1,Anonymous,
LSQ11ot,0.02732,0.0273222,0.982,0.004,17.557,0.004,-5.2,0.1581,0.0158,5.52E-06,CSPII,Ia,0.976,1,1,0.32,0.006403124237,-1.60E-05,10,10.17,10.22,-1,-1,CGCG 421-013,
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.194,0.012,-5,0.1457,0.0146,4.90E-05,CSPII,Ia,0.948,1,1,0.287,0.01769180601,-0.000144,10.52,10.7,10.8,-1,-1,2MASX J05164149+0629376,
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.355,0.043,5,0.0371,0.0037,6.71E-05,CSPII,Ia,0.986,1,0,0.089,0.07300684899,-0.001849,9.29,9.3,9.43,-1,-1,GALEXASC J101741.80-072452.2,
LSQ12aor,0.0933354,0.0945588,0.923,0.018,19.424,0.013,-2.6,0.0415,0.0042,1.24E-05,CSPII,Ia,0.986,1,0,-0.069,0.02469817807,-0.000169,9.67,9.85,10.15,-1,-1,GALEXASC J105517.85-141757.2,
LSQ12bld,0.0833623,0.084303,0.896,0.009,18.94,0.008,-4.9,0.0233,0.0023,2.08E-05,CSPII,Ia,0.987,1,0,0.078,0.0144222051,-6.40E-05,10.42,10.55,10.64,-1,-1,SDSS J134244.72+080531.7,
LSQ12btn,0.0541733,0.0552706,0.829,0.01,18.134,0.007,-1.7,0.0333,0.0033,1.89E-05,CSPII,Ia,0.986,1,0,0.1,0.01063014581,-4.90E-05,10.84,10.9,10.94,-1,-1,2MASX J09213114-0941331,
LSQ12ca,0.0994,0.0995466,0.947,0.032,19.095,0.044,1.1,0.0417,0.0042,-0.0001036,CSPII,Ia,0.962,0,0,-0.05,0.07280109889,-0.001936,10.34,10.44,10.64,-1,-1,2MASX J05310364-1948063,
LSQ12cda,0.1374948,0.1384035,0.813,0.126,20.104,0.066,3.8,0.0284,0.0028,-0.001764,CSPII,Ia,0.859,1,0,0.045,0.1265701387,-0.004356,9.69,9.82,9.98,-1,-1,SDSS J135002.40+093755.1,
LSQ12cdl,0.1079253,0.1090245,0.994,0.044,19.275,0.044,2.5,0.0492,0.0049,-0.0002278,CSPII,Ia,0.986,1,0,-0.141,0.07280109889,-0.001936,8.79,8.81,8.93,-1,-1,GALEXASC J125339.85-183025.6,
LSQ12fuk,0.0205857,0.0205571,1.004,0.006,15.682,0.009,-0.2,0.0714,0.0071,8.14E-06,CSPII,Ia,0.982,0,1,-0.008,0.01204159458,-8.10E-05,8.2,8.34,8.45,-1,-1,GALEXASC J045815.88-161800.7,
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.504,0.011,-4.9,0.0179,0.0018,4.09E-05,CSPII,Ia,0.981,1,0,0.246,0.01702938637,-0.000121,10.55,10.74,10.93,-1,-1,MCG -06-12-002,
LSQ12fxd,0.03122,0.0313344,1.16,0.006,16.292,0.004,-9.8,0.0217,0.0022,1.10E-05,CSPII,Ia,0.98,1,1,-0.006,0.005656854249,-1.60E-05,10.16,10.28,10.4,-1,-1,ESO 487- G 004,
LSQ12gdj,0.0303033,0.0292813,1.165,0.007,15.883,0.005,-11.2,0.0199,0.002,1.64E-05,CSPII,Ia-91T,0.969,1,1,-0.031,0.007071067812,-2.50E-05,8.36,8.66,8.76,-1,-1,ESO 472- G 007,
LSQ12gef,0.0641556,0.0631798,1.176,0.033,18.627,0.039,0.2,0.0512,0.0051,-2.29E-05,CSPII,Ia,0.987,0,0,0.269,0.06580273551,-0.001521,11.5,11.5,11.5,-1,-1,2MASX J01403375+1830406,
LSQ12gln,0.1020294,0.1021611,1.109,0.014,19.036,0.006,-3.9,0.0201,0.002,4.17E-05,CSPII,Ia,0.986,1,0,-0.066,0.007810249676,-3.60E-05,8.6,8.75,9.07,-1,-1,GALEXASC J052259.58-332755.3,
