sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,m,ml,mu,sample,subtype,quality,caltype
LSQ13dkp,0.0689367,0.0685268,0.657,0.008,18.771,0.01,-4.7,0.0145,0.0015,2.652e-05,,,,0.019,0.013,0.0001,N/A,-1.0,-1.0,,,10.8,10.61,10.92,CSPII,Ia,0.963,none
LSQ13dpm,0.0508648,0.0520617,1.055,0.009,17.683,0.004,-7.7,0.0529,0.0053,1.393e-05,,,,-0.013,0.005,1.6e-05,N/A,-1.0,-1.0,,,9.17,9.06,9.6,CSPII,Ia,0.984,none
LSQ13dqh,0.1038,0.1035425,1.197,0.02,19.318,0.012,-5.6,0.0501,0.005,9.181e-06,,,,-0.039,0.016,0.000144,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.969,none
LSQ13dsm,0.0423707,0.0419767,0.908,0.004,17.263,0.006,-11.8,0.0088,0.0009,1.043e-05,,,,-0.024,0.008,3.6e-05,N/A,-1.0,-1.0,,,9.01,8.85,9.14,CSPII,Ia,0.984,none
LSQ13lq,0.0755477,0.0765051,1.054,0.012,18.003,0.005,-6.1,0.0215,0.0022,2.484e-05,,,,-0.076,0.006,2.5e-05,N/A,-1.0,-1.0,,,8.44,8.0,8.63,CSPII,Ia,0.951,none
LSQ13pf,0.0860404,0.0870045,0.917,0.038,19.645,0.058,1.2,0.0558,0.0056,-7.238e-05,,,,0.216,0.072,0.003364,N/A,-1.0,-1.0,,,10.26,10.14,10.44,CSPII,Ia-91T,0.957,none
LSQ13ry,0.0298367,0.031032,0.88,0.006,16.54,0.009,-12.2,0.0403,0.004,2.209e-05,,,,-0.05,0.011,8.1e-05,N/A,-1.0,-1.0,,,9.64,9.54,9.7,CSPII,Ia,0.971,none
LSQ13vy,0.0417711,0.0421068,0.892,0.005,17.65,0.006,-5.8,0.0676,0.0068,1.262e-05,,,,0.075,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.17,10.15,10.33,CSPII,Ia,0.985,none
LSQ14act,0.05905,0.0594518,0.701,0.008,18.372,0.008,-3.3,0.2269,0.0227,1.27e-05,,,,-0.002,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.17,10.07,10.61,CSPII,Ia,0.976,none
LSQ14age,0.0805442,0.0815802,1.115,0.014,18.473,0.009,-11.9,0.0576,0.0058,2.389e-06,,,,-0.019,0.013,8.1e-05,N/A,-1.0,-1.0,,,8.42,8.33,8.59,CSPII,Ia,0.976,none
LSQ14ahc,0.0508648,0.0517592,1.252,0.01,17.271,0.008,-8.0,0.0461,0.0046,4.066e-05,,,,-0.02,0.011,6.4e-05,N/A,-1.0,-1.0,,,9.13,8.89,9.62,CSPII,Ia,0.986,none
LSQ14ahm,0.0497655,0.0509869,1.161,0.009,17.21,0.007,-10.6,0.0274,0.0027,9.58e-07,,,,-0.059,0.011,4.9e-05,N/A,-1.0,-1.0,,,8.2,8.03,8.37,CSPII,Ia,0.986,none
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.296,0.007,-0.3,0.0193,0.0019,-1.842e-06,,,,0.066,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.11,9.95,10.3,CSPII,Ia,0.979,none
LSQ14asu,0.0683967,0.069594,0.775,0.012,18.888,0.009,-3.6,0.0372,0.0037,3.641e-05,,,,0.004,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.67,10.51,10.86,CSPII,Ia,0.927,none
LSQ14auy,0.0824129,0.0832263,1.136,0.014,18.658,0.007,-4.3,0.0669,0.0067,-1.374e-05,,,,-0.009,0.011,4.9e-05,N/A,-1.0,-1.0,,,10.74,10.61,11.19,CSPII,Ia,0.987,none
LSQ14azy,0.0457633,0.0469322,1.136,0.027,17.682,0.055,3.6,0.0164,0.0016,-0.0001024,,,,0.066,0.067,0.003025,N/A,-1.0,-1.0,,,9.94,9.75,10.1,CSPII,Ia,0.981,none
LSQ14ba,0.0775463,0.0787677,0.959,0.006,18.794,0.01,-6.8,0.0493,0.0049,2.785e-05,,,,0.034,0.013,0.0001,N/A,-1.0,-1.0,,,9.47,9.3,9.87,CSPII,Ia,0.986,none
LSQ14bbv,0.0587593,0.058439,1.039,0.011,17.747,0.005,-2.4,0.0464,0.0046,1.941e-05,,,,0.008,0.006,2.5e-05,N/A,-1.0,-1.0,,,11.02,10.9,11.14,CSPII,Ia,0.986,none
LSQ14bjj,0.0811438,0.0819882,0.996,0.008,18.465,0.007,-4.4,0.0408,0.0041,2.508e-05,,,,-0.082,0.009,4.9e-05,N/A,-1.0,-1.0,,,8.46,8.3,8.91,CSPII,Ia,0.986,none
LSQ14fms,0.077946,0.0773231,0.849,0.015,19.009,0.012,-3.2,0.0143,0.0014,4.751e-05,,,,0.165,0.016,0.000144,N/A,-1.0,-1.0,,,10.11,10.0,10.49,CSPII,Ia,0.986,none
LSQ14foj,0.0460667,0.0451705,1.015,0.01,17.342,0.008,-10.8,0.0121,0.0012,3.005e-05,,,,0.047,0.011,6.4e-05,N/A,-1.0,-1.0,,,8.44,8.33,8.7,CSPII,Ia,0.986,none
LSQ14fom,0.05626,0.0553279,0.947,0.009,17.794,0.008,-8.2,0.0184,0.0018,3.105e-05,,,,0.021,0.011,6.4e-05,N/A,-1.0,-1.0,,,9.54,9.4,9.72,CSPII,Ia,0.978,none
LSQ14gfb,0.0527067,0.0527873,0.605,0.035,19.568,0.055,-0.7,0.0159,0.0016,0.0002892,,,,0.526,0.064,0.003025,N/A,-1.0,-1.0,,,10.3,10.11,10.64,CSPII,Ia,0.985,none
LSQ14gfn,0.1216158,0.1210925,0.991,0.023,19.366,0.017,-3.9,0.0332,0.0033,7.615e-05,,,,0.037,0.021,0.000289,N/A,-1.0,-1.0,,,10.54,10.42,10.88,CSPII,Ia,0.967,none
LSQ14ghv,0.0666539,0.0662566,0.949,0.009,18.37,0.009,-3.6,0.0088,0.0009,2.881e-05,,,,-0.022,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.18,10.06,10.31,CSPII,Ia,0.981,none
LSQ14gov,0.089538,0.0892443,1.141,0.008,18.467,0.006,-9.3,0.0357,0.0036,-2.208e-06,,,,-0.105,0.009,3.6e-05,N/A,-1.0,-1.0,,,9.02,8.85,9.19,CSPII,Ia,0.985,none
LSQ14ie,0.089538,0.0905466,1.155,0.01,18.742,0.007,-8.1,0.0717,0.0072,-3.443e-06,,,,-0.023,0.011,4.9e-05,N/A,-1.0,-1.0,,,8.08,7.95,8.21,CSPII,Ia,0.983,none
LSQ14ip,0.0612967,0.0624196,0.522,0.009,19.493,0.016,-7.2,0.0373,0.0037,1.356e-05,,,,0.345,0.021,0.000256,N/A,-1.0,-1.0,,,10.18,10.01,10.31,CSPII,Ia,0.987,none
LSQ14jp,0.04539,0.0464896,0.677,0.007,18.138,0.007,-8.4,0.053,0.0053,1.518e-05,,,,0.123,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.54,10.48,10.81,CSPII,Ia,0.986,none
LSQ14mc,0.05662,0.0575661,0.964,0.004,17.818,0.005,-6.6,0.0207,0.0021,8.288e-06,,,,-0.029,0.006,2.5e-05,N/A,-1.0,-1.0,,,9.17,9.16,9.43,CSPII,Ia,0.986,none
LSQ14q,0.0669503,0.067871,0.958,0.004,18.178,0.006,-12.7,0.0198,0.002,1.059e-05,,,,-0.047,0.008,3.6e-05,N/A,-1.0,-1.0,,,9.32,8.92,9.42,CSPII,Ia,0.987,none
LSQ14wp,0.0694519,0.0706148,1.138,0.011,17.874,0.007,-7.8,0.0207,0.0021,-3.412e-06,,,,-0.05,0.01,4.9e-05,N/A,-1.0,-1.0,,,7.48,7.23,7.59,CSPII,Ia-91T,0.984,none
LSQ14xi,0.0507429,0.0519014,1.142,0.011,18.256,0.007,-8.6,0.0368,0.0037,8.231e-07,,,,0.212,0.011,4.9e-05,N/A,-1.0,-1.0,,,10.9,10.77,11.07,CSPII,Ia,0.986,none
LSQ15aae,0.0515643,0.0517701,1.226,0.008,17.835,0.006,-5.6,0.0616,0.0062,1.534e-05,,,,0.079,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.27,10.1,10.46,CSPII,Ia-91T,0.982,none
LSQ15agh,0.0599585,0.0610193,1.14,0.008,17.733,0.005,-5.6,0.0216,0.0022,-3.956e-06,,,,-0.036,0.008,2.5e-05,N/A,-1.0,-1.0,,,9.87,9.72,9.99,CSPII,Ia,0.987,none
LSQ15aja,0.0699516,0.0699657,1.027,0.01,18.03,0.007,-9.1,0.0545,0.0054,4.415e-05,,,,-0.092,0.009,4.9e-05,N/A,-1.0,-1.0,,,7.46,7.34,7.58,CSPII,Ia,0.984,none
LSQ15alq,0.0470667,0.0480953,0.92,0.005,17.319,0.005,-12.1,0.0668,0.0067,1.28e-05,,,,-0.004,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.4,10.22,10.82,CSPII,Ia,0.97,none
LSQ15bv,0.0689,0.0701168,0.955,0.01,18.185,0.009,-1.7,0.0443,0.0044,-1.086e-05,,,,-0.003,0.017,8.1e-05,N/A,-1.0,-1.0,,,10.56,10.39,10.77,CSPII,Ia,0.985,none
PS1-13eao,0.0377533,0.037362,0.893,0.047,21.827,0.098,-0.9,0.0107,0.0011,0.000109,,,,1.509,0.1,0.009604,N/A,-1.0,-1.0,,,10.73,10.56,11.04,CSPII,Ia,0.0,none
PS1-14ra,0.0280833,0.0287982,0.778,0.006,16.623,0.005,-0.1,0.023,0.0023,-3.812e-06,,,,0.052,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.65,10.35,10.72,CSPII,Ia,0.984,none
PS1-14rx,0.0669536,0.0680019,0.848,0.018,18.547,0.021,-8.1,0.0266,0.0027,0.0001848,,,,-0.022,0.028,0.000441,N/A,-1.0,-1.0,,,9.89,9.77,10.06,CSPII,Ia,0.981,none
PS1-14xw,0.0245,0.0245957,1.036,0.01,15.798,0.005,-3.1,0.0656,0.0066,1.186e-05,,,,0.018,0.006,2.5e-05,N/A,-1.0,-1.0,,,11.24,11.11,11.71,CSPII,Ia,0.975,none
PS15sv,0.033277,0.0335844,1.113,0.014,16.44,0.009,-3.0,0.0782,0.0078,-2.215e-05,,,,0.013,0.013,8.1e-05,N/A,-1.0,-1.0,,,8.31,8.2,8.56,CSPII,Ia-91T,0.977,none
PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.353,0.005,-6.4,0.0507,0.0051,-3.501e-06,,,,0.051,0.007,2.5e-05,N/A,-1.0,-1.0,,,10.88,10.73,10.97,CSPII,Ia,0.984,none
PTF11ppn,0.0672534,0.0661869,0.66,0.038,18.77,0.137,7.2,0.132,0.0132,0.000675,,,,0.245,0.164,0.018769,N/A,-1.0,-1.0,,,11.02,10.96,11.06,CSPII,Ia-91bg,0.154,none
PTF11pra,0.0175433,0.0167242,0.442,0.017,18.098,0.049,1.2,0.0243,0.0024,-5.234e-06,,,,0.935,0.061,0.002401,N/A,-1.0,-1.0,,,10.68,10.57,10.75,CSPII,Ia,0.981,none
PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.763,0.007,-9.3,0.0556,0.0056,2.487e-05,,,,0.255,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.65,10.38,10.7,CSPII,Ia,0.979,none
PTF13anh,0.0614575,0.0624543,0.944,0.007,17.93,0.012,-10.7,0.0224,0.0022,3.805e-05,,,,-0.172,0.018,0.000144,N/A,-1.0,-1.0,,,7.48,7.29,7.66,CSPII,Ia,0.979,none
PTF13duj,0.01694,0.015867,1.158,0.013,15.051,0.008,-7.0,0.0665,0.0067,-5.587e-06,,,,0.052,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.73,10.61,10.82,CSPII,Ia,0.965,none
PTF13dwl,0.0874395,0.0863561,1.114,0.023,18.513,0.008,-5.0,0.0613,0.0061,2.933e-06,,,,0.017,0.011,6.4e-05,N/A,-1.0,-1.0,,,8.74,8.42,8.98,CSPII,Ia,0.987,none
PTF13dym,0.04213,0.0409061,0.517,0.024,17.574,0.035,-5.7,0.0379,0.0038,0.000272,,,,0.097,0.049,0.001225,N/A,-1.0,-1.0,,,9.45,9.25,9.88,CSPII,Ia-91bg,0.0,none
PTF13dyt,0.1099239,0.109862,0.942,0.065,19.288,0.055,-7.1,0.0458,0.0046,0.001928,,,,-0.253,0.09,0.003025,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia-pec,,none
PTF13ebh,0.01326,0.012484,0.632,0.004,15.042,0.007,-13.1,0.0668,0.0067,6.795e-06,,,,0.117,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.86,10.800000190734863,11.020000457763672,CSPII,Ia,0.975,none
PTF13efe,0.0749481,0.0758465,1.159,0.011,18.209,0.008,-9.1,0.0213,0.0021,-1.168e-06,,,,-0.022,0.012,6.4e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.987,none
PTF13ez,0.0434699,0.0445375,0.896,0.012,17.389,0.026,-2.1,0.0429,0.0043,2.548e-05,,,,0.165,0.031,0.000676,N/A,-1.0,-1.0,,,9.71,9.52,9.84,CSPII,Ia,0.982,none
PTF14aaf,0.0588167,0.0595653,1.169,0.01,18.038,0.008,-11.8,0.0288,0.0029,5.008e-06,,,,0.044,0.011,6.4e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.986,none
PTF14aje,0.0276708,0.0282271,0.685,0.006,18.511,0.011,-3.3,0.1524,0.0152,1.43e-05,,,,0.582,0.014,0.000121,N/A,-1.0,-1.0,,,10.78,10.64,10.84,CSPII,Ia,0.978,none
PTF14fpg,0.034,0.03283,1.079,0.012,16.758,0.006,-8.9,0.0258,0.0026,1.793e-05,,,,0.003,0.008,3.6e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.784,none
PTF14gnl,0.05369,0.0525349,1.02,0.006,17.426,0.007,-13.4,0.0268,0.0027,2.272e-05,,,,-0.06,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.06,9.86,10.5,CSPII,Ia,0.984,none
PTF14uo,0.0912368,0.0922406,1.123,0.016,18.732,0.006,-5.8,0.0161,0.0016,-3.171e-06,,,,-0.06,0.009,3.6e-05,N/A,-1.0,-1.0,,,9.0,8.86,9.48,CSPII,Ia,0.987,none
PTF14w,0.0188933,0.0200839,0.743,0.004,16.086,0.004,-6.3,0.0205,0.0021,4.873e-06,,,,0.05,0.005,1.6e-05,N/A,-1.0,-1.0,,,9.14,8.96,9.3,CSPII,Ia,0.975,none
PTF14yw,0.01697,0.0180604,0.854,0.008,15.728,0.008,-4.2,0.0255,0.0026,1.824e-05,,,,-0.043,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.24,10.16,10.59,CSPII,Ia,0.411,none
PTF14yy,0.0429703,0.0440905,0.837,0.01,18.484,0.011,-6.9,0.0198,0.002,5.295e-05,,,,0.252,0.015,0.000121,N/A,-1.0,-1.0,,,9.41,9.25,9.52,CSPII,Ia,0.986,none
SN2004ef,0.0309667,0.02977,0.84,0.003,16.87,0.004,-9.0,0.0458,0.0046,4.988e-06,,,,0.119,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.74,10.63,10.8,CSPI,Ia,0.981,none
SN2004eo,0.01569,0.0147367,0.867,0.005,15.126,0.007,-12.3,0.093,0.0093,1.176e-05,,,,0.023,0.009,4.9e-05,N/A,-1.0,-1.0,,,11.16,11.03,11.35,CSPI,Ia,0.979,none
SN2004ey,0.0157767,0.0146267,1.008,0.003,14.777,0.003,-8.9,0.1197,0.012,2.232e-06,,,,-0.054,0.004,9e-06,N/A,-1.0,-1.0,,,10.06,9.76,10.41,CSPI,Ia,0.973,none
SN2004gs,0.0266267,0.0282767,0.707,0.003,17.184,0.004,-3.9,0.0257,0.0026,3.039e-06,,,,0.205,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.63,10.57,10.7,CSPI,Ia,0.982,none
SN2004gu,0.0458267,0.0468967,1.153,0.011,17.422,0.011,-0.8,0.0223,0.0022,-2.754e-05,,,,0.149,0.014,0.000121,N/A,-1.0,-1.0,,,10.02,9.74,10.19,CSPI,Ia-06gz,0.986,none
SN2005A,0.0191267,0.01834,0.963,0.007,18.115,0.012,-3.6,0.0259,0.0026,1.222e-05,,,,0.978,0.016,0.000144,N/A,-1.0,-1.0,,,11.19,11.07,11.26,CSPI,Ia,0.976,none
SN2005M,0.0219967,0.02558,1.205,0.004,15.919,0.003,-8.3,0.0273,0.0027,1.711e-06,,,,0.018,0.004,9e-06,N/A,-1.0,-1.0,,,8.8,8.38,8.92,CSPI,Ia-91T,0.984,none
SN2005W,0.0088833,0.00795,0.938,0.006,14.209,0.006,-7.8,0.0615,0.0062,1.183e-05,,,,0.165,0.008,3.6e-05,N/A,-1.0,-1.0,,,9.9,9.75,10.0,CSPI,Ia,0.967,none
SN2005ag,0.07937,0.08008,1.145,0.009,18.412,0.006,-1.0,0.0331,0.0033,-1.913e-05,,,,-0.036,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.9,10.84,10.95,CSPI,Ia,0.982,none
SN2005al,0.0123933,0.0132867,0.868,0.004,14.885,0.006,-1.0,0.0483,0.0048,-1.608e-06,,,,-0.058,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.49,10.4,10.63,CSPI,Ia,0.909,none
SN2005am,0.0078933,0.0089667,0.765,0.004,13.699,0.006,-0.4,0.0433,0.0043,-6.263e-07,,,,0.065,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.83,10.68,11.26,CSPI,Ia,0.934,none
SN2005be,0.035,0.0355767,0.768,0.022,16.987,0.057,6.4,0.0294,0.0029,-5.4e-05,,,,0.055,0.071,0.003249,N/A,-1.0,-1.0,,,10.4,10.25,10.5,CSPI,Ia,0.985,none
SN2005bg,0.02307,0.0241567,1.064,0.039,15.846,0.052,2.7,0.0264,0.0026,-0.0001614,,,,0.036,0.066,0.002704,N/A,-1.0,-1.0,,,9.91,9.72,10.02,CSPI,Ia,0.983,none
SN2005bl,0.0240433,0.0251133,0.429,0.011,18.48,0.028,-6.4,0.025,0.0025,0.0001085,,,,0.676,0.034,0.000784,N/A,-1.0,-1.0,,,11.01,10.89,11.2,CSPI,Ia-91bg,0.98,none
SN2005bo,0.0138867,0.0150133,0.883,0.009,15.671,0.005,-0.3,0.0396,0.004,-8.452e-06,,,,0.237,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.5,10.34,10.65,CSPI,Ia,0.962,none
SN2005el,0.0149,0.0148833,0.864,0.003,14.895,0.009,-7.1,0.0976,0.0098,7.911e-06,,,,-0.08,0.012,8.1e-05,N/A,-1.0,-1.0,,,10.84,10.7,11.24,CSPI,Ia,0.973,none
SN2005eq,0.0289567,0.02835,1.136,0.009,16.294,0.007,-3.9,0.0629,0.0063,-1.342e-05,,,,0.055,0.01,4.9e-05,N/A,-1.0,-1.0,,,10.56,10.44,10.65,CSPI,Ia-91T,0.984,none
SN2005hc,0.0459067,0.0444967,1.141,0.007,17.31,0.005,-4.7,0.028,0.0028,-2.854e-06,,,,0.013,0.007,2.5e-05,N/A,-1.0,-1.0,,,10.6,10.52,10.65,CSPI,Ia,0.98,none
SN2005hj,0.0579667,0.05695,1.151,0.019,17.761,0.011,-3.0,0.0329,0.0033,-2.63e-05,,,,0.08,0.016,0.000121,N/A,-1.0,-1.0,,,9.32,9.22,9.38,CSPI,Ia,0.984,none
SN2005iq,0.03402,0.03293,0.882,0.006,16.796,0.008,-5.5,0.0185,0.0019,1.641e-05,,,,-0.031,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.54,10.47,10.6,CSPI,Ia,0.965,none
SN2005ir,0.0763067,0.0752333,1.003,0.014,18.396,0.012,-2.8,0.0265,0.0027,6.076e-05,,,,0.053,0.016,0.000144,N/A,-1.0,-1.0,,,9.23,9.12,9.37,CSPI,Ia,0.984,none
SN2005kc,0.01511,0.01389,0.933,0.005,15.59,0.008,-10.6,0.1137,0.0114,1.227e-05,,,,0.234,0.011,6.4e-05,N/A,-1.0,-1.0,,,11.06,10.6,11.5,CSPI,Ia,0.978,none
SN2005ke,0.0048767,0.0044833,0.436,0.003,14.789,0.009,-9.7,0.02,0.002,4.686e-06,,,,0.662,0.012,8.1e-05,N/A,-1.0,-1.0,,,10.43,10.29,10.61,CSPI,Ia-91bg,0.953,none
SN2005ki,0.0191933,0.02037,0.836,0.004,15.584,0.005,-10.0,0.0267,0.0027,3.507e-06,,,,-0.019,0.007,2.5e-05,N/A,-1.0,-1.0,,,10.8,10.62,10.86,CSPI,Ia,0.982,none
SN2005ku,0.0454067,0.0441833,0.973,0.035,17.539,0.062,0.4,0.0461,0.0046,-5.746e-05,,,,0.1,0.078,0.003844,N/A,-1.0,-1.0,,,10.04,9.96,10.1,CSPI,Ia,0.986,none
SN2005lu,0.0319867,0.0312933,1.063,0.03,17.245,0.057,9.3,0.0218,0.0022,-5.62e-05,,,,0.25,0.072,0.003249,N/A,-1.0,-1.0,,,9.86,9.68,10.03,CSPI,Ia,0.975,none
SN2005mc,0.0252033,0.0260067,0.666,0.02,17.222,0.054,2.4,0.0379,0.0038,-4.125e-05,,,,0.311,0.066,0.002916,N/A,-1.0,-1.0,,,10.95,10.85,11.1,CSPI,Ia,0.982,none
SN2005na,0.0263033,0.0268133,0.97,0.005,16.008,0.007,-1.9,0.0681,0.0068,1.961e-06,,,,-0.015,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.97,10.9,11.05,CSPI,Ia,0.976,none
SN2006D,0.00852,0.00964,0.839,0.003,14.194,0.005,-6.0,0.0394,0.0039,3.35e-06,,,,0.099,0.006,2.5e-05,N/A,-1.0,-1.0,,,9.76,9.54,9.85,CSPI,Ia,0.972,none
SN2006X,0.0052367,0.00632,0.97,0.004,15.243,0.009,-10.9,0.0228,0.0023,8.81e-06,,,,1.213,0.012,8.1e-05,N/A,-1.0,-1.0,,,9.33,9.06,9.43,CSPI,Ia,0.557,none
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.033,0.006,-11.8,0.041,0.0041,7.59e-06,,,,-0.073,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.92,10.79,11.04,CSPI,Ia,0.981,none
SN2006bd,0.0257067,0.0267967,0.395,0.01,18.763,0.037,-1.2,0.0231,0.0023,5.822e-05,,,,0.733,0.044,0.001369,N/A,-1.0,-1.0,,,10.77,10.6,10.8,CSPI,Ia-91bg,0.981,none
SN2006bh,0.01084,0.0104933,0.827,0.003,14.369,0.004,-4.9,0.0228,0.0023,2.827e-06,,,,-0.01,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.43,10.31,10.49,CSPI,Ia,0.969,none
SN2006br,0.0245733,0.0255233,0.954,0.032,18.934,0.08,7.3,0.0197,0.002,-4.505e-05,,,,0.837,0.097,0.0064,N/A,-1.0,-1.0,,,10.97,10.87,11.36,CSPI,Ia,0.982,none
SN2006ef,0.01787,0.0170267,0.858,0.02,15.44,0.067,10.0,0.0201,0.002,-3.546e-05,,,,-0.024,0.081,0.004489,N/A,-1.0,-1.0,,,10.35,10.180000305175781,10.489999771118164,CSPI,Ia,0.943,none
SN2006ej,0.0204367,0.0193367,0.845,0.018,15.748,0.049,5.3,0.0296,0.003,-6.679e-06,,,,0.028,0.06,0.002401,N/A,-1.0,-1.0,,,10.63,10.48,10.7,CSPI,Ia,0.971,none
SN2006eq,0.0494667,0.0483667,0.656,0.022,18.567,0.061,2.4,0.0416,0.0042,-4.031e-05,,,,0.302,0.075,0.003721,N/A,-1.0,-1.0,,,10.19,9.79,10.65,CSPI,Ia,0.973,none
