sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,m,ml,mu,sample,subtype,quality,caltype,covBVs
SN2004gs,0.0266267,0.0282767,0.705,0.003,17.182,0.005,-3.8,0.0257,0.0026,3.24E-06,,,,0.202,0.006403124237,2.50E-05,N/A,-1,-1,10.63,10.57,10.7,CSPI,Ia,0.982,none,-5.28E-07
SN2005bl,0.0240433,0.0251133,0.427,0.011,18.477,0.027,-6.5,0.025,0.0025,0.0001022,,,,0.689,0.03360059523,0.000729,N/A,-1,-1,11.01,10.89,11.2,CSPI,Ia-91bg,0.98,none,8.97E-05
SN2005ke,0.0048767,0.0044833,0.438,0.003,14.795,0.009,-9.8,0.02,0.002,4.61E-06,,,,0.67,0.01204159458,8.10E-05,N/A,-1,-1,10.43,10.29,10.61,CSPI,Ia-91bg,0.953,none,2.70E-06
SN2005mc,0.0252033,0.0260067,0.664,0.02,17.229,0.055,2.4,0.0379,0.0038,-5.03E-05,,,,0.314,0.06742403132,0.003025,N/A,-1,-1,10.95,10.85,11.1,CSPI,Ia,0.982,none,-3.56E-05
SN2006bd,0.0257067,0.0267967,0.398,0.009,18.737,0.033,-1.4,0.0231,0.0023,4.79E-05,,,,0.712,0.03911521443,0.001089,N/A,-1,-1,10.77,10.6,10.8,CSPI,Ia-91bg,0.981,none,3.39E-06
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.58,0.063,2.1,0.0416,0.0042,-4.37E-05,,,,0.31,0.0774209274,0.003969,N/A,-1,-1,10.19,9.79,10.65,CSPI,Ia,0.973,none,-5.17E-05
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.669,0.009,-1.7,0.0705,0.007,2.82E-06,,,,0.298,0.01204159458,8.10E-05,N/A,-1,-1,10.53,10.36,10.6,CSPI,Ia,0.983,none,-1.36E-06
SN2006gt,0.04474,0.0436433,0.575,0.01,18.221,0.012,-2.3,0.0323,0.0032,1.53E-05,,,,0.249,0.0162788206,0.000144,N/A,-1,-1,9.93,9.87,9.94,CSPI,Ia-91bg,0.982,none,-1.65E-05
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.583,0.054,4.4,0.0236,0.0024,-2.42E-05,,,,0.185,0.06603029608,0.002916,N/A,-1,-1,10.22,10.05,10.39,CSPI,Ia-86G,0.98,none,-1.79E-05
SN2006mr,0.0058667,0.00551,0.335,0.004,15.319,0.02,-4.4,0.0179,0.0018,1.35E-05,,,,0.731,0.02758622845,0.0004,N/A,-1,-1,11.19,10.79,11.38,CSPI,Ia-91bg,0.947,none,-1.07E-05
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.281,0.011,-3.1,0.0285,0.0029,2.44E-05,,,,0.111,0.01486606875,0.000121,N/A,-1,-1,11.26,11.08,11.33,CSPI,Ia,0.986,none,1.99E-05
SN2007al,0.0121133,0.0132629,0.385,0.006,17.32,0.02,-0.3,0.036,0.0036,1.57E-05,,,,0.7,0.025,0.0004,N/A,-1,-1,9.47,9.33,9.91,CSPI,Ia-91bg,0.971,none,3.76E-06
SN2007ax,0.0068567,0.0076367,0.404,0.008,16.193,0.02,-2.9,0.0446,0.0045,6.09E-05,,,,0.689,0.02561249695,0.0004,N/A,-1,-1,10.23,10.13,10.29,CSPI,Ia-91bg,0.924,none,3.09E-05
SN2007ba,0.0384867,0.0390533,0.556,0.008,17.754,0.015,-7.1,0.0315,0.0032,2.66E-05,,,,0.328,0.01920937271,0.000225,N/A,-1,-1,10.99,10.9,11.06,CSPI,Ia-91bg,0.796,none,-1.86E-05
SN2007hj,0.0141033,0.0128818,0.636,0.005,15.631,0.007,-1.5,0.0747,0.0075,2.75E-06,,,,0.216,0.009219544457,4.90E-05,N/A,-1,-1,10.45,10.3,10.89,CSPI,Ia,0.961,none,-5.62E-06
SN2007jh,0.0407667,0.0402667,0.6,0.015,18.305,0.02,-2.9,0.0902,0.009,6.81E-05,,,,0.272,0.0262488095,0.0004,N/A,-1,-1,10.99,10.89,11.04,CSPI,Ia-86G,0.981,none,-4.04E-05
SN2007mm,0.066354,0.0688733,0.506,0.016,19.628,0.03,-7.2,0.0313,0.0031,5.52E-05,,,,0.406,0.03720215048,0.0009,N/A,-1,-1,11.36,11.36,11.36,CSPI,Ia-86G,0.983,none,-7.22E-05
SN2007N,0.01287,0.014,0.375,0.006,18.05,0.019,-0.7,0.0343,0.0034,2.19E-05,,,,0.953,0.02360084744,0.000361,N/A,-1,-1,10.19,10.1,10.57,CSPI,Ia-91bg,0.976,none,6.75E-06
SN2007ol,0.05587,0.054882,0.678,0.029,18.049,0.019,-3.6,0.0215,0.0022,0.0002427,,,,-0.073,0.02906888371,0.000361,N/A,-1,-1,9.82,9.71,9.93,CSPI,Ia,0.972,none,0.000108
SN2007on,0.00649,0.0061833,0.588,0.003,13.032,0.009,-8.4,0.0098,0.001,6.31E-06,31.998,0.004,Ho,0.116,0.01204159458,8.10E-05,NGC1404,31.526,0.072,10.932,10.897,10.967,N/A,N/A,0,s,1.65E-06
SN2007ux,0.0308933,0.031996,0.624,0.006,17.407,0.008,-0.3,0.0386,0.0039,-1.07E-05,,,,0.213,0.01,6.40E-05,N/A,-1,-1,10.3,10.23,10.34,CSPI,Ia-86G,0.981,none,-1.34E-05
SN2008bd,0.0300833,0.0312803,0.656,0.04,17.68,0.053,16.2,0.0751,0.0075,-0.0006188,,,,0.345,0.06762396025,0.002809,N/A,-1,-1,11.07,10.99,11.13,CSPI,Ia-91bg,,none,-0.0017958
SN2008bi,0.0134367,0.0143882,0.512,0.023,17.001,0.108,7.4,0.037,0.0037,-1.80E-06,,,,0.579,0.129247824,0.011664,N/A,-1,-1,10.38,10.27,10.48,CSPI,Ia-91bg,0.972,none,-5.91E-05
SN2008bt,0.0153533,0.0165796,0.492,0.008,16.761,0.01,-1.2,0.0445,0.0044,6.98E-06,,,,0.525,0.01345362405,0.0001,N/A,-1,-1,10.85,10.7,10.91,CSPI,Ia-91bg,0.979,none,-1.49E-05
SN2008O,0.03883,0.039318,0.683,0.01,18.148,0.013,-1.3,0.0763,0.0076,7.58E-07,,,,0.314,0.01640121947,0.000169,N/A,-1,-1,11.33,11.12,11.59,CSPI,Ia,0.986,none,-1.83E-05
SN2008R,0.0134933,0.0128867,0.633,0.006,15.27,0.008,-1.3,0.0618,0.0062,2.06E-06,,,,0.12,0.01063014581,6.40E-05,NGC1200,33.66,0.08,11.25,11.13,11.37,N/A,N/A,0,s,-7.64E-06
SN2009F,0.0129467,0.01291,0.384,0.007,16.908,0.019,-4.9,0.0895,0.0089,2.46E-05,,,,0.557,0.02549509757,0.000361,N/A,-1,-1,10.79,10.61,11.22,CSPI,Ia-91bg,0.97,none,6.53E-06
ASAS15ga,0.0066267,0.0076517,0.496,0.03,15.499,0.033,-3.8,0.0236,0.0024,0.0004013,,,,0.431,0.04957822102,0.001089,N/A,-1,-1,10.38,10.18,10.48,CSPII,Ia-91bg,0.966,none,-0.0003347
CSP12J,0.01468,0.0149235,0.484,0.025,16.375,0.107,5,0.0678,0.0068,-0.0003475,,,,0.555,0.1284133949,0.011449,N/A,-1,-1,10.09,9.97,10.2,CSPII,Ia,0.917,none,-0.0001782
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.164,0.071,0.8,0.0444,0.0044,-0.0003219,,,,0.125,0.08683893136,0.005041,N/A,-1,-1,9.93,9.8,10.09,CSPII,Ia,0.978,none,-0.00030082
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.762,0.008,-6.7,0.0226,0.0023,4.60E-06,,,,0.454,0.01063014581,6.40E-05,NGC5490,34.267,0.08,11.14,11.06,11.22,N/A,N/A,0,s,-7.61E-06
CSP15B,0.0198862,0.0208198,0.718,0.006,16.113,0.009,-3.8,0.0641,0.0064,1.90E-05,,,,0.14,0.01081665383,8.10E-05,N/A,-1,-1,10.95,10.78,11.42,CSPII,Ia,0.966,none,7.78E-06
KISS15m,0.02432,0.0253844,0.425,0.009,18.292,0.028,-6.1,0.0277,0.0028,5.75E-05,,,,0.622,0.03176476035,0.000784,N/A,-1,-1,9.78,9.67,9.94,CSPII,Ia-91bg,0.958,none,2.10E-05
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.481,0.013,-5,0.1457,0.0146,2.52E-05,,,,0.287,0.01769180601,0.000169,N/A,-1,-1,10.7,10.52,10.8,CSPII,Ia,0.948,none,-2.37E-05
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.75,0.013,-4.9,0.0179,0.0018,3.81E-05,,,,0.246,0.01702938637,0.000169,N/A,-1,-1,10.74,10.55,10.93,CSPII,Ia,0.981,none,-2.88E-06
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,18.761,0.01,-4.6,0.0145,0.0015,2.84E-05,,,,0.01,0.01345362405,0.0001,N/A,-1,-1,10.8,10.61,10.92,CSPII,Ia,0.963,none,2.60E-06
LSQ14act,0.05905,0.0594518,0.691,0.007,18.371,0.007,-3.2,0.2269,0.0227,1.04E-05,,,,0.003,0.009899494937,4.90E-05,N/A,-1,-1,10.17,10.07,10.61,CSPII,Ia,0.976,none,-5.88E-06
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.3,0.007,-0.3,0.0193,0.0019,-1.64E-06,,,,0.075,0.009219544457,4.90E-05,N/A,-1,-1,10.11,9.95,10.3,CSPII,Ia,0.979,none,-7.02E-06
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,19.555,0.054,-1,0.0159,0.0016,0.0002703,,,,0.53,0.0622655603,0.002916,N/A,-1,-1,10.3,10.11,10.64,CSPII,Ia,0.985,none,-2.41E-05
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.478,0.018,-7.3,0.0373,0.0037,2.01E-05,,,,0.338,0.0228035085,0.000324,N/A,-1,-1,10.18,10.01,10.31,CSPII,Ia,0.987,none,-4.45E-05
LSQ14jp,0.04539,0.0464896,0.675,0.007,18.134,0.008,-8.4,0.053,0.0053,1.71E-05,,,,0.123,0.01,6.40E-05,N/A,-1,-1,10.54,10.48,10.81,CSPII,Ia,0.986,none,9.83E-06
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.683,0.15,7.4,0.132,0.0132,0.000914,,,,0.189,0.1791758912,0.0225,N/A,-1,-1,11.02,10.96,11.06,CSPII,Ia-91bg,0.154,none,0.0001754
PTF11pra,0.0175433,0.0167242,0.439,0.017,18.085,0.048,1,0.0243,0.0024,-4.58E-06,,,,0.92,0.06,0.002304,N/A,-1,-1,10.68,10.57,10.75,CSPII,Ia,0.981,none,-3.19E-06
PTF13dym,0.04213,0.0409061,0.509,0.024,17.561,0.036,-5.8,0.0379,0.0038,0.0003023,,,,0.096,0.04951767361,0.001296,N/A,-1,-1,9.45,9.25,9.88,CSPII,Ia-91bg,0,none,-9.81E-05
PTF13ebh,0.01326,0.012484,0.636,0.004,15.043,0.007,-13,0.0668,0.0067,6.37E-06,,,,0.123,0.009219544457,4.90E-05,NGC0890,33.296,0.081,10.86,10.81,10.91,N/A,N/A,0,s,-1.10E-06
PTF14aje,0.0276708,0.0282271,0.684,0.005,18.531,0.009,-3.2,0.1524,0.0152,9.36E-06,,,,0.608,0.01081665383,8.10E-05,N/A,-1,-1,10.78,10.64,10.84,CSPII,Ia,0.978,none,-2.10E-06
PTF14w,0.0188933,0.0200839,0.742,0.004,16.086,0.004,-6.3,0.0205,0.0021,4.29E-06,,,,0.056,0.005,1.60E-05,N/A,-1,-1,9.14,8.96,9.3,CSPII,Ia,0.975,none,2.90E-06
SN2011iv,0.00649,0.0061827,0.699,0.007,12.463,0.008,-3.4,0.0098,0.001,1.17E-05,32.066,0.351,Ho,0.031,0.01063014581,6.40E-05,NGC1404,31.526,0.072,10.932,10.897,10.967,N/A,N/A,0,s,-3.20E-06
SN2011jn,0.0474433,0.0485384,0.641,0.021,17.919,0.073,5.5,0.0593,0.0059,-5.67E-05,,,,0.121,0.08848163651,0.005329,N/A,-1,-1,11.35,11.23,11.78,CSPII,Ia,0.982,none,-4.69E-05
SN2012ij,0.01099,0.012107,0.536,0.008,15.519,0.011,-4.3,0.0235,0.0024,2.67E-05,,,,0.257,0.0162788206,0.000121,N/A,-1,-1,9.94,9.8,10.11,CSPII,Ia,0.969,none,-3.14E-05
SN2013ay,0.0157167,0.0156526,0.495,0.019,16.284,0.069,7.5,0.0622,0.0062,-9.38E-05,,,,0.53,0.08348652586,0.004761,N/A,-1,-1,10.72,10.64,10.82,CSPII,Ia,0.953,none,-5.41E-05
SN2013bc,0.02245,0.023528,0.482,0.022,18.187,0.053,0.8,0.0407,0.0041,-1.35E-05,,,,0.751,0.06580273551,0.002809,N/A,-1,-1,10.47,10.28,10.55,CSPII,Ia,0.98,none,-8.65E-06
SN2014ba,0.0058367,0.0049902,0.338,0.02,16.121,0.074,6.8,0.0102,0.001,-4.10E-05,,,,0.944,0.09402127419,0.005476,N/A,-1,-1,10.64,10.56,11.06,CSPII,Ia-91bg,0.954,none,3.77E-06
SN2014dn,0.0221733,0.0221408,0.466,0.005,17.66,0.008,-0.3,0.0161,0.0016,-1.30E-06,,,,0.653,0.01,6.40E-05,N/A,-1,-1,10.65,10.58,10.72,CSPII,Ia,0.982,none,-3.58E-06
SNhunt281,0.0040667,0.004706,0.693,0.003,13.695,0.005,-12,0.0454,0.0045,3.34E-06,,,,0.045,0.007071067812,2.50E-05,N/A,-1,-1,9.75,9.66,9.85,CSPII,Ia,0.947,none,-1.62E-06