sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,m,ml,mu,sample,subtype,quality,caltype,covBVs
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.764,0.107,6.8,0.0159,0.0016,9.15e-06,,,,-0.010999999999999233,0.011180339887498949,0.0,N/A,-1.0,-1.0,8.61,8.23,8.78,CSPII,Ia,0.973,none,4.750999999999999e-06
ASAS14hp,0.0388933,0.0386676,1.074,0.01,17.234,0.02,-0.3,0.0295,0.0029,-1.506e-05,,,,-0.04899999999999949,0.005,0.0,N/A,-1.0,-1.0,9.09,8.98,9.15,CSPII,Ia,0.984,none,1.183e-05
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.242,0.029,-3.2,0.0131,0.0013,1.958e-06,,,,0.06099999999999994,0.01345362404707371,0.0,N/A,-1.0,-1.0,10.34,10.18,10.45,CSPII,Ia,0.985,none,4.999999999999986e-07
ASAS14hu,0.0215851,0.0218919,1.052,0.007,16.197,0.014,-5.8,0.0612,0.0061,1.518e-06,,,,-0.04499999999999993,0.006403124237432849,0.0,N/A,-1.0,-1.0,9.93,9.8,10.24,CSPII,Ia,0.983,none,2.1936e-05
ASAS14jc,0.0113167,0.0117796,0.915,0.005,14.965,0.09,4.7,0.1346,0.0135,2.401e-05,,,,0.43700000000000117,0.01,0.0,N/A,-1.0,-1.0,9.46,9.32,9.77,CSPII,Ia,0.962,none,8.067000000000001e-06
ASAS14jg,0.0148167,0.014347,1.285,0.022,15.248,0.074,4.6,0.0128,0.0013,-9.379e-05,,,,0.049000000000001265,0.05940538696111658,0.0,N/A,-1.0,-1.0,8.76,8.57,8.88,CSPII,Ia,0.961,none,-1.8209999999999997e-05
ASAS14jz,0.0157891,0.0156168,0.989,0.006,15.258,0.025,-8.5,0.0472,0.0047,3.514e-05,,,,-0.04100000000000037,0.00565685424949238,0.0,N/A,-1.0,-1.0,8.23,8.11,8.35,CSPII,Ia,0.952,none,-6.339e-06
ASAS14kd,0.0243,0.0230683,1.169,0.007,15.882,0.133,10.1,0.0574,0.0057,4.951e-05,,,,0.2339999999999982,0.007071067811865475,0.0,N/A,-1.0,-1.0,10.14,10.03,10.23,CSPII,Ia-91T,0.941,none,-1.7269e-05
ASAS14kq,0.0335767,0.0325972,1.147,0.011,17.167,0.028,-0.1,0.0155,0.0016,1.542e-05,,,,-0.020999999999997243,0.012041594578792296,0.0,N/A,-1.0,-1.0,8.91,8.78,9.11,CSPII,Ia,0.961,none,-8.166e-05
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.192,0.021,-12.9,0.0213,0.0021,2.552e-05,,,,0.24300000000000033,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.74,10.6,10.91,CSPII,Ia,0.335,none,5.687e-06
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.684,0.162,9.6,0.0275,0.0028,-0.0001708,,,,0.019999999999999574,0.07940403012442127,0.0,N/A,-1.0,-1.0,10.65,10.46,10.73,CSPII,Ia,0.977,none,-1.0990000000000002e-05
ASAS14lt,0.0320233,0.0314552,0.944,0.008,17.025,0.034,-3.5,0.0474,0.0047,-1.96e-05,,,,-0.0329999999999977,0.016401219466856725,0.0,N/A,-1.0,-1.0,10.64,10.56,10.7,CSPII,Ia,0.984,none,1.0000000000001598e-08
ASAS14lw,0.0208855,0.0202609,1.25,0.007,16.442,0.041,-9.0,0.0117,0.0012,4.093e-05,,,,-0.012000000000000455,0.009219544457292887,0.0,N/A,-1.0,-1.0,6.35,6.08,6.72,CSPII,Ia,0.939,none,3.0699999999999994e-06
ASAS14me,0.0178,0.017386,1.078,0.005,15.547,0.073,1.5,0.0175,0.0018,3.007e-06,,,,0.006999999999999673,0.00565685424949238,0.0,N/A,-1.0,-1.0,9.05,8.91,9.15,CSPII,Ia,0.981,none,6.19e-06
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.588,0.013,-4.7,0.0179,0.0018,-2.229e-06,,,,-0.03399999999999892,0.005,0.0,N/A,-1.0,-1.0,10.68,10.59,10.75,CSPII,Ia,0.984,none,1.2944e-05
ASAS14my,0.0205,0.0217279,0.923,0.005,16.093,0.018,-7.3,0.0316,0.0032,3.75e-06,,,,0.014999999999998792,0.01,0.0,N/A,-1.0,-1.0,10.31,10.11,10.74,CSPII,Ia,0.975,none,9.722000000000001e-06
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.783,0.031,-2.6,0.0656,0.0066,-1.857e-06,,,,0.10299999999999976,0.009219544457292887,0.0,N/A,-1.0,-1.0,11.2,11.05,11.35,CSPII,Ia,0.952,none,-1.2812999999999999e-05
ASAS15al,0.0337766,0.0337612,1.077,0.028,17.509,0.068,19.3,0.0293,0.0029,-4.056e-05,,,,0.054999999999999716,0.05920304046246273,0.0,N/A,-1.0,-1.0,8.07,8.03,8.23,CSPII,Ia,0.916,none,-1.0789999999999997e-05
ASAS15as,0.0286801,0.0297845,1.076,0.014,16.993,0.121,24.5,0.0398,0.004,-1.045e-05,,,,0.028999999999999915,0.0078102496759066544,0.0,N/A,-1.0,-1.0,7.66,7.47,8.01,CSPII,Ia,0.985,none,1.348e-05
ASAS15ba,0.0231167,0.0239771,0.967,0.004,16.431,0.074,4.9,0.0223,0.0022,-4.192e-06,,,,0.008000000000000895,0.006403124237432849,0.0,N/A,-1.0,-1.0,7.99,7.83,8.19,CSPII,Ia,0.983,none,-1.1373e-06
ASAS15be,0.0218833,0.0213892,1.134,0.006,16.236,0.014,-0.3,0.0167,0.0017,3.457e-06,,,,0.019000000000000128,0.006403124237432849,0.0,N/A,-1.0,-1.0,7.8,7.66,8.16,CSPII,Ia,0.976,none,-2.0469e-05
ASAS15bm,0.0207856,0.0214395,0.991,0.005,16.039,0.015,-4.6,0.069,0.0069,9.395e-07,,,,0.12700000000000067,0.009899494936611667,0.0,N/A,-1.0,-1.0,10.02,9.89,10.15,CSPII,Ia,0.976,none,-4.38e-06
ASAS15cb,0.04001,0.0411361,1.086,0.053,17.355,0.108,2.0,0.0279,0.0028,-0.0003492,,,,0.10699999999999932,0.07940403012442127,0.0,N/A,-1.0,-1.0,10.28,10.17,10.4,CSPII,Ia,0.583,none,-0.00026724
ASAS15cd,0.0342863,0.0353887,1.003,0.005,17.29,0.014,-3.5,0.0261,0.0026,-8.961e-06,,,,-0.021000000000000796,0.009219544457292887,0.0,N/A,-1.0,-1.0,9.95,9.85,10.02,CSPII,Ia,0.983,none,-9.859999999999995e-07
ASAS15db,0.01099,0.0113676,0.955,0.003,15.031,0.06,12.9,0.029,0.0029,1.108e-05,,,,0.0860000000000003,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.11,9.98,10.19,CSPII,Ia,0.975,none,3.0610000000000004e-06
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.22,0.095,15.2,0.0461,0.0046,-5.193e-06,,,,-0.0070000000000014495,0.009219544457292887,0.0,N/A,-1.0,-1.0,10.41,10.31,10.52,CSPII,Ia,0.962,none,-1.3378999999999998e-05
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.231,0.073,0.5,0.0321,0.0032,-6.023e-05,,,,-0.13299999999999912,0.0658027355054484,0.0,N/A,-1.0,-1.0,9.98,9.89,10.06,CSPII,Ia-91T,0.978,none,1.3709e-05
ASAS15ga,0.0066267,0.0076517,0.496,0.03,14.315,0.149,1.2,0.0236,0.0024,-0.0005206,,,,0.43100000000000094,0.04957822102496216,0.0,N/A,-1.0,-1.0,10.38,10.18,10.48,CSPII,Ia-91bg,0.966,none,-0.0003347
ASAS15go,0.01891,0.0192546,1.071,0.012,16.088,0.028,-4.0,0.1369,0.0137,-1.121e-05,,,,0.22400000000000198,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.18,10.04,10.27,CSPII,Ia,0.981,none,2.0911e-05
ASAS15gr,0.0242832,0.0247678,1.035,0.007,16.389,0.081,10.7,0.0823,0.0082,-1.889e-05,,,,-0.036000000000001364,0.006403124237432849,0.0,N/A,-1.0,-1.0,8.94,8.82,9.02,CSPII,Ia,0.983,none,1.0612e-05
ASAS15hf,0.0061733,0.0072452,0.943,0.005,13.921,0.077,0.2,0.0854,0.0085,6.894e-06,,,,0.009000000000000341,0.01,0.0,N/A,-1.0,-1.0,9.56,9.39,9.97,CSPII,Ia,0.961,none,3.3200000000000004e-06
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.879,0.011,-11.2,0.0415,0.0042,1.335e-05,,,,-0.030000000000001137,0.005,0.0,N/A,-1.0,-1.0,7.45,7.06,7.89,CSPII,Ia,0.909,none,7.7367e-06
CSP12G,0.0369744,0.0379661,1.159,0.029,17.248,0.097,8.9,0.0283,0.0028,6.503e-05,,,,0.11499999999999844,0.0738173421358423,0.0,N/A,-1.0,-1.0,8.41,8.29,8.49,CSPII,Ia,0.985,none,-0.00017449000000000002
CSP13N,0.04776,0.0487969,1.138,0.025,17.717,0.067,13.3,0.0238,0.0024,8.476e-05,,,,-0.003999999999997783,0.06661080993352356,0.0,N/A,-1.0,-1.0,10.07,9.88,10.24,CSPII,Ia-91T,0.976,none,-0.00011703
CSP13V,0.0599585,0.0611394,1.05,0.082,18.41,0.087,17.9,0.0474,0.0047,0.0001286,,,,-0.14199999999999946,0.1430873858870865,0.0,N/A,-1.0,-1.0,11.5,11.5,11.5,CSPII,Ia,0.987,none,0.0023639999999999998
CSP13Z,0.0788454,0.0800694,1.19,0.015,18.867,0.051,-7.3,0.0484,0.0048,4.259e-05,,,,-0.022999999999999687,0.01063014581273465,0.0,N/A,-1.0,-1.0,8.35,8.25,8.85,CSPII,Ia-91T,0.98,none,-3.0689999999999998e-06
CSP13aad,0.0868,0.0865709,1.19,0.033,18.971,0.111,11.2,0.0206,0.0021,0.0003429,,,,0.019999999999999574,0.06940461079784253,0.0,N/A,-1.0,-1.0,9.65,9.59,9.8,CSPII,Ia,0.979,none,-1.0499999999999998e-05
CSP13aaf,0.0775863,0.0787193,1.136,0.015,18.404,0.084,3.4,0.0222,0.0022,1.841e-07,,,,-0.05600000000000094,0.00848528137423857,0.0,N/A,-1.0,-1.0,10.66,10.53,11.04,CSPII,Ia,0.978,none,-6.653e-05
CSP13aam,0.0749481,0.0750921,1.136,0.017,18.298,0.083,2.8,0.1643,0.0164,-7.1e-05,,,,-0.15500000000000114,0.012727922061357855,0.0,N/A,-1.0,-1.0,9.05,8.65,9.23,CSPII,Ia,0.968,none,-0.00010781000000000001
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.806,0.195,1.8,0.0444,0.0044,-0.002709,,,,0.125,0.08683893136145793,0.0,N/A,-1.0,-1.0,9.93,9.8,10.09,CSPII,Ia,0.978,none,-0.00030082000000000004
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.56,0.027,-6.8,0.0293,0.0029,1.792e-05,,,,-0.054999999999999716,0.01131370849898476,0.0,N/A,-1.0,-1.0,11.5,11.5,11.5,CSPII,Ia,0.969,none,-3.56e-06
CSP13aay,0.0589592,0.0587551,1.14,0.012,18.623,0.017,-0.5,0.0159,0.0016,-2.911e-05,,,,0.03900000000000148,0.009219544457292887,0.0,N/A,-1.0,-1.0,11.5,11.5,11.5,CSPII,Ia,0.955,none,-5.723e-05
CSP13abl,0.0403721,0.0406288,0.817,0.051,18.05,0.046,-4.0,0.0862,0.0086,-6.071e-05,,,,1.0730000000000004,0.06264982043070834,0.0,N/A,-1.0,-1.0,8.91,8.9,9.04,CSPII,Ia,0.42,none,8.909999999999994e-05
CSP13abs,0.0771466,0.0783462,1.208,0.014,18.633,0.036,-2.5,0.0208,0.0021,-2.834e-05,,,,-0.06099999999999994,0.016278820596099707,0.0,N/A,-1.0,-1.0,6.36,6.23,6.48,CSPII,Ia-91T,0.983,none,-1.7099999999999955e-06
CSP14aal,0.0774464,0.0785493,1.085,0.03,18.831,0.028,-3.6,0.0263,0.0026,-0.0001657,,,,-0.07700000000000173,0.012041594578792296,0.0,N/A,-1.0,-1.0,11.5,11.5,11.5,CSPII,Ia,0.987,none,-6.037e-05
CSP14aar,0.0421708,0.0423854,0.982,0.022,17.634,0.114,10.0,0.0934,0.0093,3.605e-05,,,,-0.021000000000000796,0.007211102550927979,0.0,N/A,-1.0,-1.0,9.07,8.9,9.42,CSPII,Ia,0.986,none,-6.576e-06
CSP14abk,0.0797448,0.0797387,0.96,0.025,17.883,0.048,-2.7,0.0663,0.0066,-8.503e-05,,,,0.08099999999999952,0.02831960451701259,0.0,N/A,-1.0,-1.0,11.5,11.5,11.5,CSPII,Ia,0.0,none,4.999999999999986e-06
CSP14abn,0.0225,0.0232746,1.007,0.005,16.184,0.011,-1.3,0.0747,0.0075,-1.567e-05,,,,-0.0259999999999998,0.004242640687119285,0.0,N/A,-1.0,-1.0,9.75,9.59,10.24,CSPII,Ia,0.976,none,1.0395e-06
CSP14acy,0.0663741,0.0660269,0.966,0.011,18.052,0.133,4.3,0.0174,0.0017,-8.79e-05,,,,0.12199999999999989,0.017804493814764857,0.0,N/A,-1.0,-1.0,8.19,7.86,8.33,CSPII,Ia-91T,0.027,none,-6.139999999999999e-06
CSP14adc,0.03244,0.031651,0.811,0.01,17.382,0.029,-3.2,0.0949,0.0095,9.846e-06,,,,0.23200000000000287,0.011401754250991379,0.0,N/A,-1.0,-1.0,10.81,10.67,11.14,CSPII,Ia,0.976,none,-7.78e-06
CSP14ade,0.0624568,0.0626358,1.228,0.013,18.005,0.208,44.5,0.077,0.0077,0.0005106,,,,0.03500000000000014,0.012041594578792296,0.0,N/A,-1.0,-1.0,10.49,10.33,10.97,CSPII,Ia-91T,0.963,none,4.379999999999995e-06
CSP15B,0.0198862,0.0208198,0.718,0.006,15.606,0.114,22.2,0.0641,0.0064,1.008e-05,,,,0.1399999999999988,0.010816653826391968,0.0,N/A,-1.0,-1.0,10.95,10.78,11.42,CSPII,Ia,0.966,none,7.780000000000002e-06
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.234,0.051,12.2,0.0226,0.0023,-1.49e-05,,,,0.4540000000000006,0.01063014581273465,0.0,NGC5490,34.267,0.08,11.14,11.06,11.22,N/A,N/A,0.0,s,-7.608e-06
KISS13j,0.0765333,0.0776331,0.895,0.026,18.347,0.332,15.7,0.0326,0.0033,0.0009912,,,,0.1319999999999979,0.020808652046684813,0.0,N/A,-1.0,-1.0,9.83,9.65,10.21,CSPII,Ia,0.963,none,9.077e-05
KISS15m,0.02432,0.0253844,0.425,0.009,17.536,0.027,-6.1,0.0277,0.0028,4.478e-05,,,,0.6219999999999999,0.03176476034853718,0.0,N/A,-1.0,-1.0,9.78,9.67,9.94,CSPII,Ia-91bg,0.958,none,2.099e-05
KISS15n,0.023084,0.0239783,1.225,0.009,15.697,0.08,0.9,0.0088,0.0009,1.917e-05,,,,0.09700000000000131,0.01063014581273465,0.0,N/A,-1.0,-1.0,8.0,7.8,8.17,CSPII,Ia-91T,0.85,none,1.026e-05
LSQ11bk,0.0402721,0.0400251,1.071,0.016,17.668,0.022,-0.7,0.0936,0.0094,-7.412e-05,,,,-0.0779999999999994,0.01063014581273465,0.0,N/A,-1.0,-1.0,6.53,6.5,6.59,CSPII,Ia,0.967,none,2.1769999999999997e-05
LSQ11ot,0.02732,0.0273222,0.982,0.004,17.125,0.013,-0.4,0.1581,0.0158,-3.553e-06,,,,0.3200000000000003,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.17,10.0,10.22,CSPII,Ia,0.976,none,9.700000000000009e-08
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.319,0.026,-2.1,0.1457,0.0146,-3.844e-05,,,,0.2870000000000026,0.01769180601295413,0.0,N/A,-1.0,-1.0,10.7,10.52,10.8,CSPII,Ia,0.948,none,-2.373e-05
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.421,0.138,8.0,0.0371,0.0037,-5.057e-05,,,,0.08899999999999864,0.07300684899377592,0.0,N/A,-1.0,-1.0,9.3,9.29,9.43,CSPII,Ia,0.986,none,-0.0001611
LSQ12bld,0.0833623,0.084303,0.896,0.009,19.311,0.032,-3.9,0.0233,0.0023,5.283e-06,,,,0.0779999999999994,0.014422205101855958,0.0,N/A,-1.0,-1.0,10.55,10.42,10.64,CSPII,Ia,0.987,none,3.076e-05
LSQ12btn,0.0541733,0.0552706,0.829,0.01,18.224,0.094,23.2,0.0333,0.0033,0.0001215,,,,0.10000000000000142,0.01063014581273465,0.0,N/A,-1.0,-1.0,10.9,10.84,10.94,CSPII,Ia,0.986,none,-2.3436e-05
LSQ12cdl,0.1079253,0.1090245,0.994,0.044,19.819,0.099,3.4,0.0492,0.0049,-0.0003592,,,,-0.14099999999999824,0.07280109889280519,0.0,N/A,-1.0,-1.0,8.81,8.79,8.93,CSPII,Ia,0.986,none,0.000384
LSQ12fuk,0.0205857,0.0205571,1.004,0.006,16.074,0.068,0.9,0.0714,0.0071,-3.964e-05,,,,-0.008000000000000895,0.012041594578792296,0.0,N/A,-1.0,-1.0,8.34,8.2,8.45,CSPII,Ia,0.982,none,-1.4543999999999998e-05
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.575,0.036,-5.8,0.0179,0.0018,8.479e-05,,,,0.24599999999999866,0.0170293863659264,0.0,N/A,-1.0,-1.0,10.74,10.55,10.93,CSPII,Ia,0.981,none,-2.8799999999999995e-06
LSQ12fxd,0.03122,0.0313344,1.16,0.006,16.894,0.02,-9.9,0.0217,0.0022,9.907e-06,,,,-0.006000000000000227,0.00565685424949238,0.0,N/A,-1.0,-1.0,10.28,10.16,10.4,CSPII,Ia,0.98,none,-1.1723e-05
LSQ12gdj,0.0303033,0.0292813,1.165,0.007,16.508,0.026,-0.1,0.0199,0.002,4.396e-06,,,,-0.030999999999998806,0.007071067811865475,0.0,N/A,-1.0,-1.0,8.66,8.36,8.76,CSPII,Ia-91T,0.969,none,-1.640711e-05
LSQ12hno,0.0472673,0.0468084,0.989,0.014,17.848,0.02,-0.1,0.0994,0.0099,-9.241e-05,,,,0.04900000000000304,0.01,0.0,N/A,-1.0,-1.0,7.7,7.64,7.9,CSPII,Ia,0.983,none,1.8849999999999997e-05
LSQ12hvj,0.0712507,0.0723911,1.167,0.015,18.989,0.021,-6.3,0.0458,0.0046,7.477e-07,,,,0.08099999999999952,0.009899494936611667,0.0,N/A,-1.0,-1.0,9.05,8.79,9.22,CSPII,Ia,0.986,none,-4.173e-05
LSQ12hxx,0.06936,0.0689135,1.19,0.024,18.737,0.049,-1.6,0.0153,0.0015,-4.675e-05,,,,0.0779999999999994,0.016401219466856725,0.0,N/A,-1.0,-1.0,10.45,10.28,10.58,CSPII,Ia,0.986,none,-3.5000000000000038e-06
LSQ12hzj,0.0334,0.0345752,0.969,0.004,17.288,0.026,-4.1,0.0569,0.0057,-4.561e-06,,,,-0.06899999999999906,0.007071067811865475,0.0,N/A,-1.0,-1.0,9.35,9.32,9.73,CSPII,Ia,0.985,none,-6.789999999999998e-07
LSQ12hzs,0.07208,0.0718169,1.02,0.018,18.863,0.024,-6.8,0.0227,0.0023,3.695e-05,,,,0.09999999999999787,0.01063014581273465,0.0,N/A,-1.0,-1.0,10.02,9.88,10.42,CSPII,Ia,0.985,none,4.6909999999999996e-05
LSQ13abo,0.0674467,0.0681328,0.88,0.019,18.976,0.078,-4.0,0.0906,0.0091,1.708e-05,,,,0.20700000000000074,0.02778488797889961,0.0,N/A,-1.0,-1.0,10.31,10.04,10.34,CSPII,Ia,0.986,none,0.00019780000000000004
LSQ13cwp,0.0666,0.0662474,0.944,0.017,18.696,0.03,-4.6,0.1326,0.0133,-3.155e-05,,,,0.08800000000000097,0.022803508501982758,0.0,N/A,-1.0,-1.0,10.54,10.39,10.7,CSPII,Ia,0.986,none,3.199999999999999e-05
LSQ13dcy,0.0801,0.0800671,0.94,0.025,19.353,0.029,-3.3,0.0408,0.0041,-0.0001257,,,,0.11599999999999966,0.0191049731745428,0.0,N/A,-1.0,-1.0,9.18,9.01,9.34,CSPII,Ia,0.929,none,-2.1099999999999998e-05
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,18.886,0.057,-3.6,0.0145,0.0015,3.424e-05,,,,0.00999999999999801,0.01345362404707371,0.0,N/A,-1.0,-1.0,10.8,10.61,10.92,CSPII,Ia,0.963,none,2.600000000000002e-06
LSQ13dpm,0.0508648,0.0520617,1.054,0.009,18.06,0.012,-6.8,0.0529,0.0053,8.953e-06,,,,-0.00999999999999801,0.005,0.0,N/A,-1.0,-1.0,9.17,9.06,9.6,CSPII,Ia,0.984,none,2.451e-05
LSQ13dsm,0.0423707,0.0419767,0.909,0.004,17.565,0.029,-3.8,0.0088,0.0009,3.727e-06,,,,-0.015999999999998238,0.0078102496759066544,0.0,N/A,-1.0,-1.0,9.01,8.85,9.14,CSPII,Ia,0.984,none,6.349e-06
LSQ13lq,0.0755477,0.0765051,1.069,0.026,18.585,0.064,1.0,0.0215,0.0022,-2.094e-05,,,,-0.07099999999999795,0.00565685424949238,0.0,N/A,-1.0,-1.0,8.44,8.0,8.63,CSPII,Ia,0.951,none,2.819e-05
LSQ13pf,0.0860404,0.0870045,0.915,0.039,19.099,0.161,6.4,0.0558,0.0056,1.694e-06,,,,0.23300000000000054,0.07300684899377592,0.0,N/A,-1.0,-1.0,10.26,10.14,10.44,CSPII,Ia-91T,0.957,none,-2.0199999999999976e-06
LSQ13ry,0.0298367,0.031032,0.881,0.006,17.128,0.036,-12.2,0.0403,0.004,2.478e-05,,,,-0.047999999999998266,0.011401754250991379,0.0,N/A,-1.0,-1.0,9.64,9.54,9.7,CSPII,Ia,0.971,none,1.1769999999999999e-05
LSQ13vy,0.0417711,0.0421068,0.891,0.005,17.721,0.111,6.3,0.0676,0.0068,2.595e-05,,,,0.07599999999999696,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.17,10.15,10.33,CSPII,Ia,0.985,none,6.516e-06
LSQ14act,0.05905,0.0594518,0.691,0.007,18.639,0.03,-2.2,0.2269,0.0227,-3.851e-05,,,,0.0030000000000001137,0.009899494936611667,0.0,N/A,-1.0,-1.0,10.17,10.07,10.61,CSPII,Ia,0.976,none,-5.88e-06
LSQ14age,0.0805442,0.0815802,1.115,0.014,19.576,0.053,-9.0,0.0576,0.0058,2.682e-05,,,,-0.008999999999996788,0.012806248474865698,0.0,N/A,-1.0,-1.0,8.42,8.33,8.59,CSPII,Ia,0.976,none,-8.5248e-05
LSQ14ahc,0.0508648,0.0517592,1.222,0.01,17.909,0.021,-8.0,0.0461,0.0046,8.09e-06,,,,-0.028999999999999915,0.01063014581273465,0.0,N/A,-1.0,-1.0,9.13,8.89,9.62,CSPII,Ia,0.986,none,5.159999999999998e-06
LSQ14ahm,0.0497655,0.0509869,1.156,0.009,18.046,0.023,-10.5,0.0274,0.0027,-9.338e-06,,,,-0.05099999999999838,0.01063014581273465,0.0,N/A,-1.0,-1.0,8.2,8.03,8.37,CSPII,Ia,0.986,none,-3.93049e-05
LSQ14auy,0.0824129,0.0832263,1.147,0.017,18.988,0.03,-4.1,0.0669,0.0067,-2.683e-05,,,,-0.012000000000000455,0.012727922061357855,0.0,N/A,-1.0,-1.0,10.74,10.61,11.19,CSPII,Ia,0.987,none,-0.00011598999999999999
