sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype,covBVs
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.975,0.09,6.8,0.0159,0.0016,-6.027e-06,CSPII,Ia,0.973,0,1,-0.010999999999999233,0.011180339887498949,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,4.750999999999999e-06
ASAS14hp,0.0388933,0.0386676,1.074,0.01,17.503,0.03,-0.3,0.0295,0.0029,8.366e-06,CSPII,Ia,0.984,1,0,-0.04899999999999949,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,1.183e-05
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.339,0.049,-3.2,0.0131,0.0013,-4.658e-05,CSPII,Ia,0.985,1,0,0.06099999999999994,0.01345362404707371,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,4.999999999999986e-07
ASAS14hu,0.0215851,0.0218919,1.052,0.007,16.304,0.019,-5.8,0.0612,0.0061,2.317e-05,CSPII,Ia,0.983,0,1,-0.04499999999999993,0.006403124237432849,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,2.1936e-05
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.0,0.084,4.7,0.1346,0.0135,-1.458e-05,CSPII,Ia,0.962,0,1,0.43700000000000117,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,8.067000000000001e-06
ASAS14jg,0.0148167,0.014347,1.285,0.022,15.513,0.07,4.6,0.0128,0.0013,-4.275e-05,CSPII,Ia,0.961,0,1,0.049000000000001265,0.05940538696111658,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,-1.8209999999999997e-05
ASAS14jz,0.0157891,0.0156168,0.989,0.006,15.38,0.034,-8.5,0.0472,0.0047,-1.998e-06,CSPII,Ia,0.952,0,0,-0.04100000000000037,0.00565685424949238,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,-6.339e-06
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.45,0.134,10.0,0.0574,0.0057,6.137e-05,CSPII,Ia-91T,0.941,0,0,0.2339999999999982,0.007071067811865475,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,-1.7269e-05
ASAS14kq,0.0335767,0.0325972,1.147,0.011,17.403,0.037,-0.2,0.0155,0.0016,9.486e-05,CSPII,Ia,0.961,1,0,-0.020999999999997243,0.012041594578792296,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none,-8.166e-05
ASAS14lo,0.0199167,0.0210151,0.952,0.018,16.443,0.067,1.3,0.0282,0.0028,-4.146e-06,CSPII,Ia,0.979,0,1,0.12700000000000067,0.060802960454241044,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none,-3.7100000000000034e-07
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.271,0.019,-12.9,0.0213,0.0021,1.563e-05,CSPII,Ia,0.335,0,1,0.24300000000000033,0.006403124237432849,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,5.687e-06
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.751,0.127,8.6,0.0275,0.0028,-2.04e-05,CSPII,Ia,0.977,0,1,0.019999999999999574,0.07940403012442127,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,-1.0990000000000002e-05
ASAS14lt,0.0320233,0.0314552,0.944,0.008,17.095,0.039,-3.5,0.0474,0.0047,-2.353e-05,CSPII,Ia,0.984,1,0,-0.0329999999999977,0.016401219466856725,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none,1.0000000000001598e-08
ASAS14lw,0.0208855,0.0202609,1.25,0.007,16.551,0.042,-9.1,0.0117,0.0012,1.801e-05,CSPII,Ia,0.939,0,1,-0.012000000000000455,0.009219544457292887,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none,3.0699999999999994e-06
ASAS14me,0.0178,0.017386,1.078,0.005,15.868,0.066,1.5,0.0175,0.0018,1.082e-05,CSPII,Ia,0.981,0,1,0.006999999999999673,0.00565685424949238,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none,6.19e-06
ASAS14mf,0.03108,0.0301521,0.984,0.005,16.958,0.123,16.3,0.0125,0.0013,-2.854e-05,CSPII,Ia,0.984,1,0,-0.012000000000000455,0.01063014581273465,0.0,8.66,8.93,9.03,N/A,-1.0,-1.0,none,2.48e-06
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.783,0.021,-4.7,0.0179,0.0018,2.769e-06,CSPII,Ia,0.984,1,1,-0.03399999999999892,0.005,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none,1.2944e-05
ASAS14my,0.0205,0.0217279,0.923,0.005,16.263,0.024,-8.3,0.0316,0.0032,-4.207e-06,CSPII,Ia,0.975,0,1,0.014999999999998792,0.01,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none,9.722000000000001e-06
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.784,0.035,-2.6,0.0656,0.0066,-3.209e-06,CSPII,Ia,0.952,0,1,0.10299999999999976,0.009219544457292887,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none,-1.2812999999999999e-05
ASAS15al,0.0337766,0.0337612,1.077,0.028,17.637,0.034,19.3,0.0293,0.0029,4.538e-05,CSPII,Ia,0.916,1,0,0.054999999999999716,0.05920304046246273,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none,-1.0789999999999997e-05
ASAS15as,0.0286801,0.0297845,1.076,0.014,17.145,0.048,11.6,0.0398,0.004,1.983e-05,CSPII,Ia,0.985,1,1,0.028999999999999915,0.0078102496759066544,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none,1.348e-05
ASAS15ba,0.0231167,0.0239771,0.967,0.004,16.613,0.069,4.9,0.0223,0.0022,8.45e-07,CSPII,Ia,0.983,0,1,0.008000000000000895,0.006403124237432849,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none,-1.1373e-06
ASAS15be,0.0218833,0.0213892,1.134,0.006,16.456,0.021,-0.3,0.0167,0.0017,1.963e-05,CSPII,Ia,0.976,0,1,0.019000000000000128,0.006403124237432849,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none,-2.0469e-05
ASAS15bm,0.0207856,0.0214395,0.991,0.005,16.22,0.024,-4.6,0.069,0.0069,1.376e-06,CSPII,Ia,0.976,0,1,0.12700000000000067,0.009899494936611667,0.0,9.89,10.02,10.15,N/A,-1.0,-1.0,none,-4.38e-06
ASAS15cb,0.04001,0.0411361,1.086,0.053,17.339,0.087,2.0,0.0279,0.0028,0.0004968,CSPII,Ia,0.583,1,0,0.10699999999999932,0.07940403012442127,0.0,10.17,10.28,10.4,N/A,-1.0,-1.0,none,-0.00026724
ASAS15cd,0.0342863,0.0353887,1.003,0.005,17.465,0.018,-3.5,0.0261,0.0026,9.481e-07,CSPII,Ia,0.983,1,0,-0.021000000000000796,0.009219544457292887,0.0,9.85,9.95,10.02,N/A,-1.0,-1.0,none,-9.859999999999995e-07
ASAS15db,0.01099,0.0113676,0.955,0.003,15.013,0.042,12.9,0.029,0.0029,-8.773e-06,CSPII,Ia,0.975,0,0,0.0860000000000003,0.006403124237432849,0.0,9.98,10.11,10.19,N/A,-1.0,-1.0,none,3.0610000000000004e-06
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.508,0.077,10.2,0.0461,0.0046,-1.732e-05,CSPII,Ia,0.962,0,0,-0.0070000000000014495,0.009219544457292887,0.0,10.31,10.41,10.52,N/A,-1.0,-1.0,none,-1.3378999999999998e-05
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.392,0.075,0.5,0.0321,0.0032,-6.851e-05,CSPII,Ia-91T,0.978,1,1,-0.13299999999999912,0.0658027355054484,0.0,9.89,9.98,10.06,N/A,-1.0,-1.0,none,1.3709e-05
ASAS15ga,0.0066267,0.0076517,0.496,0.03,14.7,0.12,-0.9,0.0236,0.0024,0.0004817,CSPII,Ia-91bg,0.966,0,1,0.43100000000000094,0.04957822102496216,0.0,10.18,10.38,10.48,N/A,-1.0,-1.0,none,-0.0003347
ASAS15go,0.01891,0.0192546,1.071,0.012,16.327,0.039,-4.0,0.1369,0.0137,3.538e-06,CSPII,Ia,0.981,0,1,0.22400000000000198,0.006403124237432849,0.0,10.04,10.18,10.27,N/A,-1.0,-1.0,none,2.0911e-05
ASAS15gr,0.0242832,0.0247678,1.035,0.007,16.643,0.068,10.7,0.0823,0.0082,-1.794e-06,CSPII,Ia,0.983,0,1,-0.036000000000001364,0.006403124237432849,0.0,8.82,8.94,9.02,N/A,-1.0,-1.0,none,1.0612e-05
ASAS15hf,0.0061733,0.0072452,0.943,0.005,14.164,0.085,0.2,0.0854,0.0085,-3.104e-06,CSPII,Ia,0.961,0,1,0.009000000000000341,0.01,0.0,9.39,9.56,9.97,N/A,-1.0,-1.0,none,3.3200000000000004e-06
ASAS15hg,0.02975,0.0308678,0.82,0.02,17.266,0.09,4.7,0.041,0.0041,-6.979e-05,CSPII,Ia,0.985,1,0,0.06299999999999883,0.060802960454241044,0.0,10.3,10.42,10.51,N/A,-1.0,-1.0,none,-2.309e-05
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.953,0.017,-11.2,0.0415,0.0042,-8.991e-07,CSPII,Ia,0.909,0,1,-0.030000000000001137,0.005,0.0,7.06,7.45,7.89,N/A,-1.0,-1.0,none,7.7367e-06
CSP12G,0.0369744,0.0379661,1.159,0.029,17.535,0.08,8.9,0.0283,0.0028,0.0002732,CSPII,Ia,0.985,1,0,0.11499999999999844,0.0738173421358423,0.0,8.29,8.41,8.49,N/A,-1.0,-1.0,none,-0.00017449000000000002
CSP12N,0.0971328,0.0982741,1.053,0.012,19.81,0.036,-1.0,0.0429,0.0043,2.261e-05,CSPII,Ia,0.985,1,0,-0.11400000000000077,0.00848528137423857,0.0,7.32,7.51,7.66,N/A,-1.0,-1.0,none,5.983e-05
CSP13N,0.04776,0.0487969,1.138,0.025,17.927,0.043,13.2,0.0238,0.0024,0.0002354,CSPII,Ia-91T,0.976,1,0,-0.003999999999997783,0.06661080993352356,0.0,9.88,10.07,10.24,N/A,-1.0,-1.0,none,-0.00011703
CSP13V,0.0599585,0.0611394,1.05,0.082,18.601,0.082,17.9,0.0474,0.0047,0.002488,CSPII,Ia,0.987,0,0,-0.14199999999999946,0.1430873858870865,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,0.0023639999999999998
CSP13Z,0.0788454,0.0800694,1.19,0.015,19.121,0.046,-7.3,0.0484,0.0048,0.0002078,CSPII,Ia-91T,0.98,1,0,-0.022999999999999687,0.01063014581273465,0.0,8.25,8.35,8.85,N/A,-1.0,-1.0,none,-3.0689999999999998e-06
CSP13aad,0.0868,0.0865709,1.19,0.033,19.324,0.061,11.2,0.0206,0.0021,0.0004997,CSPII,Ia,0.979,1,0,0.019999999999999574,0.06940461079784253,0.0,9.59,9.65,9.8,N/A,-1.0,-1.0,none,-1.0499999999999998e-05
CSP13aaf,0.0775863,0.0787193,1.136,0.015,18.845,0.091,5.4,0.0222,0.0022,0.0001972,CSPII,Ia,0.978,1,0,-0.05600000000000094,0.00848528137423857,0.0,10.53,10.66,11.04,N/A,-1.0,-1.0,none,-6.653e-05
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.782,0.178,0.7,0.0444,0.0044,-0.002718,CSPII,Ia,0.978,1,0,0.125,0.08683893136145793,0.0,9.8,9.93,10.09,N/A,-1.0,-1.0,none,-0.00030082000000000004
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.673,0.04,-6.8,0.0293,0.0029,-3.783e-06,CSPII,Ia,0.969,1,0,-0.054999999999999716,0.01131370849898476,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-3.56e-06
CSP13aay,0.0589592,0.0587551,1.14,0.012,18.79,0.024,-0.6,0.0159,0.0016,2.097e-05,CSPII,Ia,0.955,1,0,0.03900000000000148,0.009219544457292887,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-5.723e-05
CSP13abl,0.0403721,0.0406288,0.817,0.051,18.474,0.066,-4.1,0.0862,0.0086,-0.0007729,CSPII,Ia,0.42,1,0,1.0730000000000004,0.06264982043070834,0.0,8.9,8.91,9.04,N/A,-1.0,-1.0,none,8.909999999999994e-05
CSP13abs,0.0771466,0.0783462,1.208,0.014,19.089,0.053,-2.5,0.0208,0.0021,-9.18e-06,CSPII,Ia-91T,0.983,1,0,-0.06099999999999994,0.016278820596099707,0.0,6.23,6.36,6.48,N/A,-1.0,-1.0,none,-1.7099999999999955e-06
CSP14aar,0.0421708,0.0423854,0.982,0.022,17.807,0.112,10.0,0.0934,0.0093,9.934e-06,CSPII,Ia,0.986,1,0,-0.021000000000000796,0.007211102550927979,0.0,8.9,9.07,9.42,N/A,-1.0,-1.0,none,-6.576e-06
CSP14abk,0.0797448,0.0797387,0.96,0.025,18.341,0.068,-2.8,0.0663,0.0066,-0.0001261,CSPII,Ia,0.0,0,0,0.08099999999999952,0.02831960451701259,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,4.999999999999986e-06
CSP14abn,0.0225,0.0232746,1.007,0.005,16.361,0.017,-1.3,0.0747,0.0075,-1.607e-05,CSPII,Ia,0.976,0,0,-0.0259999999999998,0.004242640687119285,0.0,9.59,9.75,10.24,N/A,-1.0,-1.0,none,1.0395e-06
CSP14acy,0.0663741,0.0660269,0.966,0.011,18.312,0.127,4.3,0.0174,0.0017,-7.949e-05,CSPII,Ia-91T,0.027,1,0,0.12199999999999989,0.017804493814764857,0.0,7.86,8.19,8.33,N/A,-1.0,-1.0,none,-6.139999999999999e-06
CSP14adc,0.03244,0.031651,0.811,0.01,17.395,0.038,-3.2,0.0949,0.0095,-5.931e-05,CSPII,Ia,0.976,1,1,0.23200000000000287,0.011401754250991379,0.0,10.67,10.81,11.14,N/A,-1.0,-1.0,none,-7.78e-06
CSP14ade,0.0624568,0.0626358,1.228,0.013,18.609,0.064,11.6,0.077,0.0077,0.0001777,CSPII,Ia-91T,0.963,1,0,0.03500000000000014,0.012041594578792296,0.0,10.33,10.49,10.97,N/A,-1.0,-1.0,none,4.379999999999995e-06
CSP15B,0.0198862,0.0208198,0.718,0.006,16.225,0.031,-3.7,0.0641,0.0064,7.637e-06,CSPII,Ia,0.966,0,1,0.1399999999999988,0.010816653826391968,0.0,10.78,10.95,11.42,N/A,-1.0,-1.0,none,7.780000000000002e-06
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.168,0.035,12.2,0.0226,0.0023,1.878e-05,CSPII,Ia-91bg,0.981,0,1,0.4540000000000006,0.01063014581273465,0.0,10.96,11.14,11.26,N/A,-1.0,-1.0,none,-7.608e-06
KISS13j,0.0765333,0.0776331,0.895,0.026,18.877,0.346,9.7,0.0326,0.0033,-4.106e-05,CSPII,Ia,0.963,1,0,0.1319999999999979,0.020808652046684813,0.0,9.65,9.83,10.21,N/A,-1.0,-1.0,none,9.077e-05
KISS13l,0.1320086,0.1330018,1.087,0.115,20.549,0.145,1.9,0.0137,0.0014,-0.002565,CSPII,Ia,0.987,1,0,-0.038000000000000256,0.09964436762808021,0.0,8.32,8.69,8.85,N/A,-1.0,-1.0,none,-0.0026266
KISS13v,0.0954,0.0962132,0.984,0.014,19.627,0.124,2.8,0.0195,0.002,0.0001274,CSPII,Ia,0.98,1,0,0.0940000000000012,0.01769180601295413,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-2.2810000000000007e-05
KISS15m,0.02432,0.0253844,0.425,0.009,17.657,0.043,-6.1,0.0277,0.0028,0.0001048,CSPII,Ia-91bg,0.958,0,0,0.6219999999999999,0.03176476034853718,0.0,9.67,9.78,9.94,N/A,-1.0,-1.0,none,2.099e-05
KISS15n,0.023084,0.0239783,1.225,0.009,15.994,0.088,0.9,0.0088,0.0009,3.108e-05,CSPII,Ia-91T,0.85,0,1,0.09700000000000131,0.01063014581273465,0.0,7.8,8.0,8.17,N/A,-1.0,-1.0,none,1.026e-05
LSQ11bk,0.0402721,0.0400251,1.071,0.016,17.911,0.028,-0.7,0.0936,0.0094,8.447e-06,CSPII,Ia,0.967,1,0,-0.0779999999999994,0.01063014581273465,0.0,6.5,6.53,6.59,N/A,-1.0,-1.0,none,2.1769999999999997e-05
LSQ11ot,0.02732,0.0273222,0.982,0.004,17.418,0.022,-0.4,0.1581,0.0158,-4.445e-06,CSPII,Ia,0.976,1,1,0.3200000000000003,0.006403124237432849,0.0,10.0,10.17,10.22,N/A,-1.0,-1.0,none,9.700000000000009e-08
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.513,0.034,-2.2,0.1457,0.0146,-4.473e-06,CSPII,Ia,0.948,1,1,0.2870000000000026,0.01769180601295413,0.0,10.52,10.7,10.8,N/A,-1.0,-1.0,none,-2.373e-05
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.953,0.096,8.0,0.0371,0.0037,0.0002355,CSPII,Ia,0.986,1,0,0.08899999999999864,0.07300684899377592,0.0,9.29,9.3,9.43,N/A,-1.0,-1.0,none,-0.0001611
LSQ12aor,0.0933354,0.0945588,0.923,0.018,19.66,0.096,0.3,0.0415,0.0042,-0.0001659,CSPII,Ia,0.986,1,0,-0.06899999999999906,0.02469817807045694,0.0,9.67,9.85,10.15,N/A,-1.0,-1.0,none,7.897999999999999e-05
LSQ12bld,0.0833623,0.084303,0.896,0.009,19.434,0.032,-3.8,0.0233,0.0023,-1.697e-05,CSPII,Ia,0.987,1,0,0.0779999999999994,0.014422205101855958,0.0,10.42,10.55,10.64,N/A,-1.0,-1.0,none,3.076e-05
LSQ12btn,0.0541733,0.0552706,0.829,0.01,18.519,0.032,-1.7,0.0333,0.0033,2.699e-06,CSPII,Ia,0.986,1,0,0.10000000000000142,0.01063014581273465,0.0,10.84,10.9,10.94,N/A,-1.0,-1.0,none,-2.3436e-05
LSQ12cda,0.1374948,0.1384035,0.813,0.126,20.598,0.216,5.7,0.0284,0.0028,-0.01906,CSPII,Ia,0.859,1,0,0.045000000000001705,0.1265701386583739,0.0,9.69,9.82,9.98,N/A,-1.0,-1.0,none,-0.003626
LSQ12cdl,0.1079253,0.1090245,0.994,0.044,20.04,0.079,3.3,0.0492,0.0049,-0.0004413,CSPII,Ia,0.986,1,0,-0.14099999999999824,0.07280109889280519,0.0,8.79,8.81,8.93,N/A,-1.0,-1.0,none,0.000384
LSQ12fuk,0.0205857,0.0205571,1.004,0.006,16.291,0.059,0.9,0.0714,0.0071,-2.706e-05,CSPII,Ia,0.982,0,1,-0.008000000000000895,0.012041594578792296,0.0,8.2,8.34,8.45,N/A,-1.0,-1.0,none,-1.4543999999999998e-05
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.865,0.038,-5.8,0.0179,0.0018,5.878e-05,CSPII,Ia,0.981,1,0,0.24599999999999866,0.0170293863659264,0.0,10.55,10.74,10.93,N/A,-1.0,-1.0,none,-2.8799999999999995e-06
LSQ12fxd,0.03122,0.0313344,1.16,0.006,16.955,0.026,-9.9,0.0217,0.0022,3.718e-05,CSPII,Ia,0.98,1,1,-0.006000000000000227,0.00565685424949238,0.0,10.16,10.28,10.4,N/A,-1.0,-1.0,none,-1.1723e-05
LSQ12gdj,0.0303033,0.0292813,1.165,0.007,16.89,0.042,-0.2,0.0199,0.002,1.663e-05,CSPII,Ia-91T,0.969,1,1,-0.030999999999998806,0.007071067811865475,0.0,8.36,8.66,8.76,N/A,-1.0,-1.0,none,-1.640711e-05
LSQ12gln,0.1020294,0.1021611,1.109,0.014,19.783,0.024,-4.0,0.0201,0.002,3.221e-05,CSPII,Ia,0.986,1,0,-0.0660000000000025,0.0078102496759066544,0.0,8.6,8.75,9.07,N/A,-1.0,-1.0,none,-5.801e-05
LSQ12hno,0.0472673,0.0468084,0.989,0.014,18.231,0.029,-0.1,0.0994,0.0099,-0.0001054,CSPII,Ia,0.983,1,0,0.04900000000000304,0.01,0.0,7.64,7.7,7.9,N/A,-1.0,-1.0,none,1.8849999999999997e-05
LSQ12hnr,0.1243,0.1255265,1.095,0.07,20.479,0.093,1.9,0.0324,0.0032,0.0003718,CSPII,Ia,0.982,1,0,0.006000000000000227,0.07684399781375251,0.0,7.93,8.05,8.16,N/A,-1.0,-1.0,none,-0.00071471
LSQ12hvj,0.0712507,0.0723911,1.167,0.015,19.217,0.023,-6.3,0.0458,0.0046,4.866e-05,CSPII,Ia,0.986,1,0,0.08099999999999952,0.009899494936611667,0.0,8.79,9.05,9.22,N/A,-1.0,-1.0,none,-4.173e-05
LSQ12hxx,0.06936,0.0689135,1.19,0.024,18.94,0.041,-1.7,0.0153,0.0015,0.0002235,CSPII,Ia,0.986,1,0,0.0779999999999994,0.016401219466856725,0.0,10.28,10.45,10.58,N/A,-1.0,-1.0,none,-3.5000000000000038e-06
LSQ12hzj,0.0334,0.0345752,0.969,0.004,17.345,0.027,-4.1,0.0569,0.0057,-4.639e-06,CSPII,Ia,0.985,1,1,-0.06899999999999906,0.007071067811865475,0.0,9.32,9.35,9.73,N/A,-1.0,-1.0,none,-6.789999999999998e-07
LSQ12hzs,0.07208,0.0718169,1.02,0.018,19.067,0.032,-6.8,0.0227,0.0023,8.956e-06,CSPII,Ia,0.985,1,0,0.09999999999999787,0.01063014581273465,0.0,9.88,10.02,10.42,N/A,-1.0,-1.0,none,4.6909999999999996e-05
LSQ13abo,0.0674467,0.0681328,0.88,0.019,19.053,0.048,-4.0,0.0906,0.0091,-7.218e-05,CSPII,Ia,0.986,1,0,0.20700000000000074,0.02778488797889961,0.0,10.04,10.31,10.34,N/A,-1.0,-1.0,none,0.00019780000000000004
LSQ13cwp,0.0666,0.0662474,0.944,0.017,18.916,0.06,-4.6,0.1326,0.0133,-1.093e-05,CSPII,Ia,0.986,1,0,0.08800000000000097,0.022803508501982758,0.0,10.39,10.54,10.7,N/A,-1.0,-1.0,none,3.199999999999999e-05
LSQ13dby,0.0999308,0.0995683,1.139,0.014,19.922,0.027,-5.8,0.0093,0.0009,2.771e-06,CSPII,Ia,0.865,1,0,-0.03999999999999915,0.01063014581273465,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-7.1264e-05
LSQ13dcy,0.0801,0.0800671,0.94,0.025,19.537,0.055,-2.3,0.0408,0.0041,-0.000172,CSPII,Ia,0.929,1,0,0.11599999999999966,0.0191049731745428,0.0,9.01,9.18,9.34,N/A,-1.0,-1.0,none,-2.1099999999999998e-05
LSQ13dhj,0.0935,0.0929027,1.167,0.019,19.867,0.114,1.2,0.0132,0.0013,0.0002344,CSPII,Ia,0.985,1,0,0.05999999999999872,0.0191049731745428,0.0,8.27,8.63,8.78,N/A,-1.0,-1.0,none,-0.000116151
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,19.106,0.048,-3.6,0.0145,0.0015,-4.99e-05,CSPII,Ia,0.963,1,0,0.00999999999999801,0.01345362404707371,0.0,10.61,10.8,10.92,N/A,-1.0,-1.0,none,2.600000000000002e-06
LSQ13dpm,0.0508648,0.0520617,1.054,0.009,18.268,0.015,-6.8,0.0529,0.0053,2.878e-06,CSPII,Ia,0.984,1,0,-0.00999999999999801,0.005,0.0,9.06,9.17,9.6,N/A,-1.0,-1.0,none,2.451e-05
LSQ13dqh,0.1038,0.1035425,1.19,0.022,19.981,0.036,-3.6,0.0501,0.005,-6.272e-05,CSPII,Ia,0.969,1,0,-0.030999999999998806,0.0170293863659264,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none,-2.2673e-05
LSQ13dsm,0.0423707,0.0419767,0.909,0.004,17.944,0.082,-3.8,0.0088,0.0009,-2.393e-06,CSPII,Ia,0.984,1,0,-0.015999999999998238,0.0078102496759066544,0.0,8.85,9.01,9.14,N/A,-1.0,-1.0,none,6.349e-06
LSQ13lq,0.0755477,0.0765051,1.069,0.026,18.91,0.063,5.0,0.0215,0.0022,5.422e-05,CSPII,Ia,0.951,1,0,-0.07099999999999795,0.00565685424949238,0.0,8.0,8.44,8.63,N/A,-1.0,-1.0,none,2.819e-05
LSQ13pf,0.0860404,0.0870045,0.915,0.039,19.472,0.084,2.4,0.0558,0.0056,-0.0005095,CSPII,Ia-91T,0.957,1,0,0.23300000000000054,0.07300684899377592,0.0,10.14,10.26,10.44,N/A,-1.0,-1.0,none,-2.0199999999999976e-06
LSQ13ry,0.0298367,0.031032,0.881,0.006,17.275,0.056,-12.2,0.0403,0.004,1.31e-05,CSPII,Ia,0.971,1,1,-0.047999999999998266,0.011401754250991379,0.0,9.54,9.64,9.7,N/A,-1.0,-1.0,none,1.1769999999999999e-05
LSQ13vy,0.0417711,0.0421068,0.891,0.005,17.819,0.088,5.2,0.0676,0.0068,-8.694e-06,CSPII,Ia,0.985,1,0,0.07599999999999696,0.0078102496759066544,0.0,10.15,10.17,10.33,N/A,-1.0,-1.0,none,6.516e-06
LSQ14act,0.05905,0.0594518,0.691,0.007,18.822,0.028,-2.2,0.2269,0.0227,-6.462e-05,CSPII,Ia,0.976,1,0,0.0030000000000001137,0.009899494936611667,0.0,10.07,10.17,10.61,N/A,-1.0,-1.0,none,-5.88e-06
LSQ14age,0.0805442,0.0815802,1.115,0.014,19.46,0.043,-9.0,0.0576,0.0058,3.809e-05,CSPII,Ia,0.976,1,0,-0.008999999999996788,0.012806248474865698,0.0,8.33,8.42,8.59,N/A,-1.0,-1.0,none,-8.5248e-05
